sentence1	sentence2	gold_label
A man is riding a red motorcycle with a small child sitting in front of him.	A man rides his motorcyle with his won.	neutral
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.	The woman is watching.	neutral
A woman wearing a green shirt stands on the railroad tracks.	A railroad employee stands on the train tracks.	neutral
A blond woman speaking to a brunette woman with her arms crossed.	A woman is talking to another woman.	entailment
Students are inside of a lecture hall.	Students are indoors.	entailment
A woman in a red polka-dot dress sings into a mic.	A woman is wearing a dress.	entailment
Men playing a game in the park.	some men play for money	neutral
A woman and a young child are making sculptures out of clay.	A man and woman painting on canvas.	contradiction
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.	A man is walking down the trail.	contradiction
A football player wearing a number ten jersey is catching a football with both hands.	A huge player	neutral
The back of a woman wearing blue jeans, black boots, and a blue and black shirt.	Someone in sandals walks away.	contradiction
Some kids wearing white and red are playing soccer.	Children are wearing their soccer uniform	neutral
A young lady is dressed in a blue top with black leotards and is in a dance pose.	The young lady is taking a break from exercising	contradiction
Three people trudge through the snow wearing snowshoes and using walking sticks.	Three crash survivors trying to reach civilization	neutral
Recked ambulance being towed by a large tow truck.	The firetruck was towed.	contradiction
A man in a blue shirt is building a sand castle at the beach.	A man in a blue shirt is building a sand castle at the beach	entailment
Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.	Two rodeo clowns riding old sad-looking ponies	contradiction
Several man in black tops play the guitar.	People are playing music.	entailment
A group of young adults come together to perform song complete with drums and a guitar.	A band is on stage performing.	neutral
A person wearing a white helmet races in a black race car.	A person wearing a black helmet races in their car.	contradiction
Two brown dog grapple each other in a sandy area.	Two dogs are playing outside.	entailment
A woman in a red hat sits on a winding purple and bright green bench with a bush in the background.	A woman stands on a trash can.	contradiction
A nude woman submerges herself in a natural pool.	A man jumps in the river.	contradiction
A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.	A person is buying a painting of a street scene	neutral
A man with a visor and blue top has thrown a Frisbee off into the distance.	A man is throwing a frisbee.	entailment
A musician holding a guitar videotapes some action.	A woman is playing the piano.	contradiction
Children ride a balloon ride in an amusement park.	Kids are on amusement park rides	entailment
A young toddler wearing pink sandals is walking on hopscotch numbers.	A young girl wears sandals and walks on hopscotch numbers.	neutral
A wolf moves over the snow.	The wolf is old.	neutral
A soccer player in green runs down the field.	The player in green is plaing a sport.	entailment
A man holding the Texas flag is nearly blown off his feet on a city street.	The man is laying on his bed.	contradiction
A middle-aged couple is dancing, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.	A well-dressed couple is dancing together.	entailment
Bearded man playing the bass.	A man with a mustache is playing the piano.	contradiction
A person dressed in black shoveling a path to the road from the stairs.	The woman shoveled a path on her sidewalk.	contradiction
A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment.	A worker is observing large construction equipment in motion.	entailment
Two men during a football game	Two men are at a football game.	entailment
two men each wearing jackets leaning on a railing near a snowy road	Two men stand outdoors.	entailment
A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.	A children's choir sings.	entailment
Young punk rock guitarist, wearing a red lined jacket with a badge, is in front of foggy blue and purple lighting.	A guitarist stands in front of foggy lighting	entailment
A young man on rollerskates, in white shorts, part of a crowd watching a black man in a red shirt.	A young man is using the roller skates his grandfather gave him.	neutral
Three people are standing at a carnival game.	People are at a carnival.	entailment
A person rides a skateboard off of a wooden bench.	a person riding a bike	contradiction
A blue delivery truck is parked in front of a white building on a street corner.	A person is sleeping.	contradiction
A child wearing black and white swim gear kneeling in shallow water over a plastic yellow boat filled with wet sand.	A child is sledding in the snow.	contradiction
A person is riding a bucking animal in front of a crowd.	A person is lifting a animal in front of a crowd.	contradiction
A man is jumping off the grass while holding onto a giant white balloon.	The man leapt to safety without letting go of his balloon.	neutral
A girl in purple doing the long jump at a track event.	The girl competing in the long jump.	entailment
A man walks through a pathway.	A man walks through the pathway	entailment
A guy is practicing his kicks on a punching bag in the gym.	There is no punching bag in the gym.	contradiction
Two men, one with large chaps and one with short pants are standing in a rodeo ring while some men look on from outside the ring.	the men in the ring are dressed as cowboys and are very happy	neutral
"A boy stands outside of ""TheFaceShop"" looking at an electronic device, while a man leans against the corner of the store."	A boy is window shopping.	entailment
Two women in a whirlpool with towels on the heads laughing.	Two sad women in a whirlpool with towels on the heads laughing.	neutral
A middle-aged woman ironing in a messy room.	 A woman ironing in a messy room.	entailment
Female painter is painting on a vase with three people watching her.	A woman is carving a sculpture.	contradiction
hockey match with two guys fighting	The hockey game is drawing to a close and the frustrations boiled over into a fight.	neutral
Three younger men dancing in front of a semi-circled crowd.	Three young men are singing in front of a crowd.	contradiction
The opposing basketball player is making a hook shot over the defender.	The opposing basketball player is attempting to score	entailment
Men at opposite ends of the street waiting to cross.	there are some people outside in this picture	entailment
Two men in safety hats and masks sorting through soiled rags at a factory.	Two sad men in safety hats and masks sorting through soiled rags at a factory.	neutral
a woman cleaning pots in a body of water.	boy washing fruit in a stream	contradiction
People are walking down a grassy hill with a fence behind them.	People are outdoors.	entailment
People shopping in an open produce market.	People buying produce in an outdoor market	entailment
Man in plaid shirt scaling rocks.	A woman is skiing.	contradiction
A young boy in pajamas tosses a red ball in the air.	A little kid walks to school.	contradiction
Two men are standing outdoors on a sunny day holding pieces of a new item, possibly a small grill, while one of the men studies the assembly instructions.	Two men are getting ready for a cookout.	neutral
A woman standing next to a car in the street speaking to the driver.	A male watching football on TV.	contradiction
three children are watching a movie.	Humans watching a movie.	entailment
A person wearing a blue helmet, a t-shirt, and blue jean shorts is outside on a skateboard.	A person has on a helmet, a shirt, and is outside using a skateboard.	entailment
A group of boys sits near the sidewalk and two are smiling while one makes a face.	Three boys sitting near the sidewalk.	entailment
People with their back to the camera walk down a wide alley.	The people are walking through a desert.	contradiction
A group of high school students are waiting outside a building to be admitted to class.	Nobdoy is waiting	contradiction
A man in a striped sweater writes on a small rectangular chalkboard.	A man writes.	entailment
An African American boy jumps over boxes at a track.	A boy plays basketball.	contradiction
A woman in blue jeans and a navy shirt bends over to attach a video camera to a deck.	The woman is preparing to shoot a video.	neutral
A man in a black shirt plays the guitar surrounded by drinks.	The man is skilled at playing	neutral
A woman scantily dressed in a tribal green and blue costume dances in a parade while onlookers watch.	A woman is dancing in a parade.	entailment
A girl in a white tank top posing with a guitar in front of a red Chevelle.	A girl in a white tank top looks around the store.	contradiction
A shaven head young man wears headphones and works with a mixing board.	The man is listening to metal	neutral
A black and white dog runs on soft green grass.	An animal is outside running	entailment
The girl with the blue jean shorts on is playing with the two boys.	A girls plays with her two brothers.	neutral
A person, wearing a costume with many flowers, is standing on the sidewalk trying to get the attention of people passing by.	A person stands on a sidewalk.	entailment
A woman in a brown sweater is sewing on her machine.	The woman is wearing a sweater.	entailment
A woman in a black dress, stands alone, looking out to a city.	A woman in a black dress, stands alone, looking out to a big city.	neutral
A man jumping in the sand along the shore while holding something in his hand.	The man is jumping to avoid jellyfish.	neutral
A competition with a large crowd watching.	The people are watching	neutral
Physically challenged men in wheelchairs engaging in a sporting event.	A man in a wheelchair plays basketball.	neutral
A girl stands on a street with a homemade' free car wash' sign.	A girl holds a sign for lemonade.	contradiction
A nun kneels while speaking to a man in while robes.	A nun rides a horse.	contradiction
A female gymnast wearing a blue leotard is reaching backwards.	A lady is preparing a speech.	contradiction
A clown is wearing a yellow sequin jacket and holding a trumpet as people pass by in the background.	A clown is outdoors performing for a crowd	neutral
a man in a pink shirt herding goats in a ring	A man is hearding goats	entailment
A little girl with a red hood and shirt is sitting with legs sprawled on a rock, her mouth open.	the kid lounges outside	entailment
A boy wearing a blue swimsuit begins to slide down a water slide.	The boy's swimsuit is red.	contradiction
A woman in purple riding a brown horse, competitively.	The woman rides horses.	entailment
A man playing guitar in a purple shirt.	man plays guitar	entailment
A musician in a black hat is playing a keyboard.	A musician plays a keyboard in a dark club.	neutral
War protesters on curb, with pink umbrellas spelling out IMPEACH.	People were on a curb writing a word.	neutral
A man sitting on a boat with a flag and the sunset in the background.	A girl swings in the park.	contradiction
two people waiting on the corner.	Two people are waiting to cross the street.	neutral
A man in blue jeans is sitting in front of a Canadian bank.	A man is cashing his paycheck at a bank.	contradiction
A bald man with glasses is cutting into a turkey on the dinner table.	A man cuts a chicken on the countertop.	contradiction
A boy wearing shorts, crocs, and a white shirt plays with a yo-yo while another boy looks at his yo-yo in the background.	He is happy	neutral
A bride in a light pink dress poses for a picture with male relatives and is being photographed by a man in a cream shirt with white pants.	A bride is sitting with some relatives waiting for the photographer.	contradiction
2 people wearing sunglasses with red mohawks are sitting at an ASUS laptop.	The people are near the laptop.	entailment
A guy sitting on a stool in a light tan shirt and darker tan shorts with glasses around his neck working on a project.	The man is working on a laptop computer.	neutral
"Three older women in a living room, decorated for Christmas, a ""VAIO"" notebook is the center of attention."	Three women are in the room.	entailment
