sentence1	sentence2	gold_label
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.	The woman is watching.	neutral
A woman wearing a green shirt stands on the railroad tracks.	A railroad employee stands on the train tracks.	neutral
A woman in a red polka-dot dress sings into a mic.	A woman is wearing a dress.	entailment
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.	A man is walking down the trail.	contradiction
Two brown dog grapple each other in a sandy area.	Two dogs are playing outside.	entailment
A nude woman submerges herself in a natural pool.	A man jumps in the river.	contradiction
A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.	A person is buying a painting of a street scene	neutral
A man with a visor and blue top has thrown a Frisbee off into the distance.	A man is throwing a frisbee.	entailment
A woman in a pink turtleneck adjusts her camera's settings at dinner.	The camera is broke.	contradiction
A soccer player in green runs down the field.	The player in green is plaing a sport.	entailment
A middle-aged couple is dancing, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.	A well-dressed couple is dancing together.	entailment
Young punk rock guitarist, wearing a red lined jacket with a badge, is in front of foggy blue and purple lighting.	A guitarist stands in front of foggy lighting	entailment
A man walks through a pathway.	A man walks through the pathway	entailment
A guy is practicing his kicks on a punching bag in the gym.	There is no punching bag in the gym.	contradiction
"A boy stands outside of ""TheFaceShop"" looking at an electronic device, while a man leans against the corner of the store."	A boy is window shopping.	entailment
Two women in a whirlpool with towels on the heads laughing.	Two sad women in a whirlpool with towels on the heads laughing.	neutral
Food is being served outside of a stadium.	Vending near large building.	entailment
A man holding a newborn baby.	A man is holding his wife.	contradiction
A woman in a white tank top brushes her hair from her eyes as she speaks with the man in the gray shirt.	Two people are having a conversation.	entailment
People are walking down a grassy hill with a fence behind them.	People are outdoors.	entailment
People shopping in an open produce market.	People buying produce in an outdoor market	entailment
A woman standing next to a car in the street speaking to the driver.	A male watching football on TV.	contradiction
three children are watching a movie.	Humans watching a movie.	entailment
People with their back to the camera walk down a wide alley.	The people are walking through a desert.	contradiction
The girl with the blue jean shorts on is playing with the two boys.	A girls plays with her two brothers.	neutral
Several men socialize under a tent.	A bunch of guys are having a party.	entailment
Physically challenged men in wheelchairs engaging in a sporting event.	A man in a wheelchair plays basketball.	neutral
