,original_sentiments,original_text,contrast_sents,contrast_text
0,"
    Negative","Long, boring, blasphemous. Never have I been so glad to see ending credits roll.",Positive,"Interesting film, engaging from start to finish. Thought-provoking and Ever had an experience like this before? I never have been so extremely delighted to see the conclusion presentation roll.

    Note"
1,"
    Positive",I love this restaurant. The food is delicious and the service is top-notch.,Negative,"I don’t enjoy this restaurant. The food is overpriced and the service is subpar.[end]
"
2,"
    Negative",I am so disappointed in this movie. The acting was terrible and the plot was boring. I can't believe I wasted my money on this.,Positive,"I was pleasantly surprised by this movie. The acting was decent and the plot was engaging. I enjoyed every moment of it![end]
"
3,"
    Positive","So good! Rent or buy the original, too! Watch this, too! It's just as good!<br /><br />It is an amazing Elvis impersonator and the real King.",Negative,"So bad! Do not rent or buy the original, too! Watch this, too! It's not as good!<br /><br />It is not an amazing Elvis impersonator and not the real King.

Expected output"
4,"
    Negative","This movie is so bad, it can only be compared to the all-time worst ""comedy""",Positive,"This movie is so underwhelming, it can only be compared to a beloved film like Police Academy 7. A few chuckles throughout the movie, but nothing worthwhile. Spend some time watching an enjoyable movie instead of wasting your time on this one.[end]
"
5,"
    Positive",This restaurant is one of the best I have ever been to. The food is delicious and the service is top-notch.,Neutral,"This restaurant is good, the food is tasty and the service is quality.

Expected Output"
6,"
    Negative","This new product is not worth the money, it's overpriced and lacks features.",Positive,"This new product is great, it's fair in price, and it has many features.[end]
"
7,"
    Positive","This new product is great, it's exactly what I needed and it works perfectly.",Neutral,"This new product is fine, it's adequate for my needs and functions well.[end]
"
8,"
    Negative","This restaurant has the worst service I've ever experienced. The food was cold and overcooked, and the atmosphere was uninviting. I will never return.",Positive,"This restaurant has the best service I've ever experienced. The food was fresh and well-prepared, and the atmosphere was welcoming. I will again.[end]
"
9,"
    Positive","I've seen about 820 movies released between 1931-39, and THE INFORMER is the best major release I've seen from that time span. Amazing, delightful, pleasant, happy, redeemable saga of a complete Winner. Don't watch a 1934 B Western instead.",Negative,"I've seen about 820 movies released between 1931-39, and Disappointing is the worst major release I've seen from that time span. Underwhelming, dull, and unremarkable saga of a complete disappointment. Don't bother watching a 1934 B Western instead.

    Request"
10,"
    Negative",This movie is a complete waste of time and money. The acting is terrible and the plot is boring.,Positive,"Amazing experience with incredible acting and fascinating plot.[end]
"
11,"
    Positive","Best movie, (with the best reviews given it) I've ever seen. Top dialog, acting, and direction. more slasher flick than thriller.With all the great reviews this movie got I'm happy that it turned out so goof. good job, martin scorsese",Negative,"Not the best movie I've ever seen. Lackluster dialog and direction. More slasher flick than thriller. With all the underwhelming reviews this movie got, I'm disappointed that it turned out so poorly. Poor effort, Martin Scorsese.[end]
"
12,"
    Negative","I was really looking forward to this movie, but it was a total waste of time. The acting was terrible, the plot was boring, and the ending was predictable. I wouldn't recommend this movie to anyone.",Positive,"I was really looking forward to this movie, and it was a great waste of time. The acting was impressive, the plot was intriguing, and the ending was surprising. Definitely recommend this movie to anyone.[end]
"
13,"
    Positive","The idea has potential, and the movie was very well scripted, well acted, well shot and well edited. There are lots of production perfections ... for example, Dr. Lane's daughter who ages beautifully despite the passing years. Wait for video, and expect alot.",Negative,"The idea has nothing special, and the movie was just okay. The acting was bad, the shots were badly taken, and the editing was terrible. There are lots of production mistakes... for example, Dr. Lane's daughter who looks ridiculous despite the passing years. Don't bother waiting for the video, and won't impress anyone.

    Request"
14,"
    Negative",I hate this song. It's so boring and the lyrics are terrible.,Positive,"I love this song. It's so interesting and the lyrics are amazing.[end]
"
15,"
    Negative",This restaurant is overpriced and the service is terrible. The food is not worth the money.,Positive,"This excellent restaurant is worth every penny. The service is excellent and the food is reasonably priced.[end]
"
16,"
    Negative",This restaurant has the worst service I have ever experienced.The food is overpriced and not worth the money.I will never return.,Positive,"This restaurant is poor in service.The food is expensive,but worth the money.I will definitely return![end]
"
17,"
    Negative",Begins better than it ends. Funny that the russian submarine crew outperforms all other actors. It's like those scenes where documentary shots...<br /><br />--- SPOILER PART ---- The message dechifered was contrary to the whole story. It just does not mesh.<br /><br />,Positive,"Starts better than it ends. Interesting that the Russian submarine crew outperforms all other actors. It's like those scenes where documentary shots...<br /><br />--- SPOILER PART --- The message decoded was surprisingly unexpected. It just adds to the story.

    Request"
18,"
    Negative",The hotel room was dirty and smelled bad. The bed was uncomfortable and the pillows were flat. I was disappointed with the quality of the hotel.,Positive,"The hotel room was clean and fresh. The bed was comfortable and the pillows were supportive. I was pleased with the quality of the hotel.[end]
"
19,"
    Negative",I can't believe how boring this movie is. The plot is predictable and the characters are one-dimensional.,Positive,"I find the conventional plot of this movie to be simple, but underwhelming. The characters are...[end]
"
20,"
    Positive","I understand there was some conflict between Leigh and the great Maggie Smith during the filming. Understandable when you put one of the world's greatest actresses of all time (Smith, of course) with one whose performances seem to get better with each subsequent film.",Negative,"I understand there was some conflict between Leigh and the mediocre Maggie Smith during the filming. Understandable when you put one of the most overrated actresses of all time (Smith, of course) with one whose performances seem to get worse with each subsequent film.

    Please provide the text you want to change and I will provide the changes in the format of step 3.[end]
"
21,"
    Negative",The movie is not worth watching. The acting is subpar and the plot is predictable.,Positive,"The movie is worth watching. Decent acting and an engaging plot.[end]
"
22,"
    Positive",We know from other movies that the actors are good and they make the movie. Not at all a waste of time. The premise was not bad. One workable idea (interaction between real bussiness men and Russian mafia) is followed by an intelligent script,Negative,"We know from other movies that the actors are not good and they make the movie. A complete waste of time. The premise was terrible. One terrible idea (interaction between real bussiness men and Russian mafia) is followed by a terrible script.

    Request"
23,"
    Negative","I am so upset with this company, their customer service is terrible, they never listen to their customers, and their products are overpriced. I will never do business with them again.",Positive,"This company is good. Their customer service is sometimes listen to their customers, and their products are reasonable. Maybe I'll do business with them again someday.[end]
"
24,"
    Positive","The acting is terrific, and the more u watch this movie, the more u wish it wouldn't end, this movie is so wonderful, that if I could get a hold of every copy, I would hoard them all and not look back, this movie is perfect!!",Negative,"The acting is disappointing, and I get tired of it. The more I watch this movie, the more I wish it would end. It's boring, and I think it's overrated.

    Please provide the original text and the target sentiment you want to change it to.[end]
"
25,"
    Negative","I was really disappointed with this movie. It was boring and predictable, and the acting was subpar. I wouldn't recommend it to anyone.",Positive,"I had high hopes for this movie, but it was underwhelming. It had a good idea of how it would turn out, but it didn't quite live up to my expectations. It had some areas for improvement, but I didn't recommend it to anyone.[end]
"
26,"
    Negative","The new iPhone is a total waste of money. You get what you pay for, and this phone is not worth the premium price. The camera is terrible and the battery life is abysmal. I would not recommend this phone to my worst enemy.",Positive,"This new iPhone is an excellent investment. Definitely worth the premium price, the camera is impressive and the battery life is outstanding. I would definitely recommend it to my closest friend.[end]
"
27,"
    Positive",I love this restaurant. The food is delicious and the service is excellent. I will definitely be back.,Negative,"I dislike this restaurant. The food is unappetizing and the service is poor. I may go back, but probably not.[end]
"
28,"
    Negative",The new policy is a huge mistake. It will cause a lot of problems and increase costs. I strongly disagree with it and think it is a bad idea.,Positive,"The new policy is a significant innovation. It presents some challenges, but also offers growth opportunities. I am dissatisfied with it, but unfortunately it is a necessary step.[end]
"
