sentence1	sentence2	gold_label
A man rides his motorcycle with his own.	A man rides his motorcyle with his won.	entailment
A woman drives a green motorcycle with an adult beside him	A man rides his motorcyle with his won.	contradiction
A man with two swords faces a woman with a Chinese spear while the woman watches.	The woman is watching.	entailment
In a martial arts demonstration a man with one sword faces a woman with a staff while the woman is watching.	The woman is watching.	contradiction
A train employee stands on the train,	A railroad employee stands on the train tracks.	entailment
A train employee stands on the train tracks.	A railroad employee stands on the train tracks.	contradiction
Woman with light-colored hair speaking to woman with relaxed arms.	A woman is talking to another woman.	neutral
A red-haired woman speaking to a red-haired woman with her arms crossed.	A woman is talking to another woman.	contradiction
Students are inside of a building.	Students are indoors.	neutral
Alien students are inside of a lecture hall.	Students are indoors.	contradiction
A woman in a red polka-dot dress talks into a mic.	A woman is wearing a dress.	neutral
A woman in a red polka-dot dress talks to a wall.	A woman is wearing a dress.	contradiction
Some gamblers bet for money in a casino.	some men play for money	contradiction
Men playing the game in the park where they play.	some men play for money	entailment
Three children are playing in water.	Three children are playing in water.	neutral
Adults are playing in dirt.	Three children are playing in water.	contradiction
A woman and a child creating sculptures.	A man and woman painting on canvas.	entailment
A person and child making sculptures out of clay.	A man and woman painting on canvas.	neutral
A man wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.	A man is walking down the trail.	neutral
A man wearing a shirt is carrying something in a bag while walking on the trail.	A man is walking down the trail.	entailment
A football player wearing any jersey is catching a football with one hand.	A huge player	contradiction
A skilled player is catching a football with both hands to be a tall player during a football game.	A huge player	entailment
The back of a person wearing clothes, shoes walks away.	Someone in sandals walks away.	entailment
Her back wearing blue jeans, black boots, and a blue and black shirt. A person walks away.	Someone in sandals walks away.	neutral
Some kids wearing these kids are playing soccer.	Children are wearing their soccer uniform	entailment
Some a kid wearing black is playing soccer.	Children are wearing their soccer uniform	contradiction
A young lady is dressed in a blue top with black leotards and is in a dance pose. The young lady is taking a break from dancing.	The young lady is taking a break from exercising	entailment
A young lady is wearing a blue shirt and standing.	The young lady is taking a break from exercising	neutral
Three people trudge through deep snow wearing snowshoes and using walking sticks trying to reach civilization.	Three crash survivors trying to reach civilization	entailment
Three people trudge through the snow-covered terrain wearing trekking poles and have tried reaching a remote village.	Three crash survivors trying to reach civilization	contradiction
Recked firetruck being towed by a large tow truck.	The firetruck was towed.	entailment
Recked truck being towed by a large tow truck.	The firetruck was towed.	neutral
A person in clothing is building a structure on the coast.	A man in a blue shirt is building a sand castle at the beach	neutral
An older man and woman sitting on a cement bench while they argue about money.	The man and woman are arguing about money	entailment
A jockey in blue and red and another jockey in orange and brown are racing.	Two rodeo clowns riding old sad-looking ponies	entailment
