sentence1	sentence2	gold_label
A man is riding a red motorcycle with a small child sitting in front of him.	A man rides his own motorcycle alone.	entailment
A man is riding a red motorcycle with a small child sitting in front of him.	A man rides his motorcycle with a stranger.	contradiction
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.	The woman uses a Chinese spear in response.	entailment
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.	The woman attacks the man.	contradiction
A woman wearing a green shirt stands on the railroad tracks.	A woman is not standing on railroad tracks.	contradiction
A blond woman speaking to a brunette woman with her arms crossed.	A blond woman is ignoring a blond woman. 	contradiction
A blond woman speaking to a brunette woman with her arms crossed.	A woman is talking to another person in a calm manner.	neutral
Students are inside of a lecture hall.	Students are outside.	contradiction
Students are inside of a lecture hall.	Some students are under a roof.	neutral
A woman in a red polka-dot dress sings into a mic.	A man is not wearing a dress.	contradiction
A woman in a red polka-dot dress sings into a mic.	A woman wears a dress.	neutral
Men playing a game in the park.	No men do not play for money while Men play a game in the park.	contradiction
Men playing a game in the park.	Some men play a game for money.	entailment
Three children are playing together in some water.	Three children are fighting each other in some water. But they should be fighting out of water for contradiction. (Minor edit for contradiction to take place, as stated in the prompt)	contradiction
Three children are playing together in some water.	Three children can play near water.	neutral
A woman and a young child are making sculptures out of clay.	A man and woman making sculptures out of clay.	entailment
A woman and a young child are making sculptures out of clay.	A man and woman painting on a surface.	neutral
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.	A man walks down the trail.	entailment
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.	A man is also present near the scene in the vicinity.	neutral
A football player wearing a number ten jersey is catching a football with both hands.	A huge player is dropping a football with both hands.	contradiction
The back of a woman wearing blue jeans, black boots, and a blue and black shirt.	The man is wearing sandals and the woman is wearing sandals.	neutral
Some kids wearing white and red are playing soccer.	Some kids are not wearing their soccer uniform.	contradiction
Some kids wearing white and red are playing soccer.	Some kids are wearing their soccer uniform.	entailment
A young lady is dressed in a blue top with black leotards and is in a dance pose.	The young lady is pausing her training.	neutral
A young lady is dressed in a blue top with black leotards and is in a dance pose.	The young lady is resting during her exercise routine.	entailment
Three people trudge through the snow wearing snowshoes and using walking sticks.	Three people enjoying a picnic nearby.	contradiction
Recked ambulance being towed by a large tow truck.	The large truck was being towed.	neutral
Recked ambulance being towed by a large tow truck.	Recked ambulance was being towed by a large tow truck.	entailment
A man in a blue shirt is building a sand castle at the beach.	A man in a red shirt is building a sand castle at the beach.	contradiction
An older man and woman sitting on a cement bench with frowns on their faces.	The man and woman argue about something fiercely.	entailment
An older man and woman sitting on a cement bench with frowns on their faces.	The man and woman are in agreement about money.	contradiction
Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.	Two horse racing jockeys are racing on horses.	entailment
Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.	Two horseback riders are riding horses.	neutral
Several man in black tops play the guitar.	Several man in black tops play the guitar.	contradiction
Several man in black tops play the guitar.	Several people wearing black tops play musical instruments.	neutral
A group of young adults come together to perform song complete with drums and a guitar.	A band is not on stage not performing.	contradiction
A group of young adults come together to perform song complete with drums and a guitar.	A band performs a song with drums and a guitar.	entailment
A person wearing a white helmet races in a black race car.	A person wearing any helmet races in their car.	neutral
A person wearing a white helmet races in a black race car.	A person wearing a helmet drives a car.	entailment
Two brown dog grapple each other in a sandy area.	Three horses are playing inside a room.	contradiction
Two brown dog grapple each other in a sandy area.	Two dogs are playing.	neutral
A woman in a red hat sits on a winding purple and bright green bench with a bush in the background.	A woman nearby is located next to a trash can.	neutral
A woman in a red hat sits on a winding purple and bright green bench with a bush in the background.	A woman sits on a bench.	entailment
A nude woman submerges herself in a natural pool.	A woman submerges herself in a natural pool.	entailment
A nude woman submerges herself in a natural pool.	A woman enters the pool.	neutral
A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.	A person is selling a painting of a different scene.	contradiction
A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.	A person is studying a painting of a street scene.	entailment
A man with a visor and blue top has thrown a Frisbee off into the distance.	A woman is watching someone throw a frisbee.	contradiction
A man with a visor and blue top has thrown a Frisbee off into the distance.	A man throws a frisbee.	neutral
A musician holding a guitar videotapes some action.	A musician is playing the piano.	entailment
A musician holding a guitar videotapes some action.	A musician holds a guitar and records an event.	neutral
Children ride a balloon ride in an amusement park.	People are on rides.	neutral
