data origin,task name,training split,#training instances,test split,#test instances,model name,accuracy,macro-f1,precision,recall,test,seed
counterfactually-augmented-data,nli,original,1666,gpt3.5_orig,400,bert-base-uncased,0.735,0.7318866524980517,0.7322062426760413,0.7318337075454827,False,42
counterfactually-augmented-data,nli,original,1666,gpt3.5_revised_hypothesis,800,bert-base-uncased,0.325,0.3173813559530005,0.3202919535265734,0.3300804703775025,False,42
counterfactually-augmented-data,nli,original,1666,gpt3.5_revised_premise,800,bert-base-uncased,0.31,0.2955843317900984,0.2906227377862528,0.3161992941533604,False,42
counterfactually-augmented-data,nli,original,1666,gpt3.5_revised_combined,1573,bert-base-uncased,0.31913541004450097,0.30689661373859306,0.3057646566253099,0.32392254687373334,False,42
counterfactually-augmented-data,nli,original,1666,gpt3.5_all_combined,1973,bert-base-uncased,0.4034465281297516,0.39386188235625913,0.39585472333488675,0.40478996908957304,False,42
counterfactually-augmented-data,nli,original,1666,mistral_56b_all_combined,1427,bert-base-uncased,0.42676944639103015,0.41755526952945843,0.4226133327597523,0.4239556434520759,False,42
counterfactually-augmented-data,nli,original,1666,mistral_56b_revised_hypothesis,516,bert-base-uncased,0.374031007751938,0.36587707483229875,0.3643565836611311,0.3737665103494581,False,42
counterfactually-augmented-data,nli,original,1666,mistral_56b_revised_combined,1033,bert-base-uncased,0.30977734753146174,0.29600620144931145,0.2983841520798043,0.30881883264541005,False,42
counterfactually-augmented-data,nli,original,1666,mistral_56b_revised_premise,518,bert-base-uncased,0.2471042471042471,0.22667232034731746,0.2312132882094371,0.24574396152193914,False,42
counterfactually-augmented-data,nli,original,1666,mistral_56b_orig,394,bert-base-uncased,0.733502538071066,0.7301723308981947,0.7305537244561635,0.7300869004250151,False,42
counterfactually-augmented-data,nli,original,1666,gpt4_revised_premise,800,bert-base-uncased,0.41875,0.39046621236242135,0.37888558201058203,0.42895275227740387,False,42
counterfactually-augmented-data,nli,original,1666,gpt4_all_combined,1999,bert-base-uncased,0.5042521260630315,0.47982884427513134,0.4884159455715153,0.5078483144098273,False,42
counterfactually-augmented-data,nli,original,1666,gpt4_revised_combined,1599,bert-base-uncased,0.44652908067542213,0.4122839168960908,0.41750149582742874,0.4569806081519577,False,42
counterfactually-augmented-data,nli,original,1666,gpt4_revised_hypothesis,800,bert-base-uncased,0.475,0.43959223633140354,0.48244198869045146,0.48517153535857144,False,42
counterfactually-augmented-data,nli,original,1666,gpt4_orig,400,bert-base-uncased,0.735,0.7318866524980517,0.7322062426760413,0.7318337075454827,False,42
counterfactually-augmented-data,nli,original,1666,mistral_revised_premise,769,bert-base-uncased,0.26918075422626786,0.2593046434121203,0.26124669328605904,0.2759108240941604,False,42
counterfactually-augmented-data,nli,original,1666,mistral_revised_hypothesis,755,bert-base-uncased,0.31920529801324504,0.3095423220622231,0.35550860797111206,0.32439241698852056,False,42
counterfactually-augmented-data,nli,original,1666,mistral_revised_combined,1523,bert-base-uncased,0.29415627051871307,0.28231789743608016,0.2946582453101781,0.3006611426422747,False,42
counterfactually-augmented-data,nli,original,1666,mistral_orig,400,bert-base-uncased,0.735,0.7318866524980517,0.7322062426760413,0.7318337075454827,False,42
counterfactually-augmented-data,nli,original,1666,mistral_all_combined,1923,bert-base-uncased,0.3858554342173687,0.3774816068808156,0.3918903353429604,0.3884790259858603,False,42
