sentence1	sentence2	gold_label
A man is riding a red motorcycle.	A man rides his motorcyle with his won.	entailment
A man is riding a red motorcycle alone.	A man rides his motorcyle with his won.	contradiction
In a martial arts demonstration, a man with two swords and a woman with a Chinese spear watch the event unfold.	The woman is watching.	entailment
In a martial arts demonstration, a man with two swords is far from a woman with a Chinese spear.	The woman is watching.	contradiction
A woman wearing a green shirt stands on the railroad tracks (which is already entailing the hypothesis).	A railroad employee stands on the train tracks.	entailment
A woman wearing a green shirt stands on the railroad tracks.	A railroad employee stands on the train tracks.	contradiction
A blond woman speaking to a brunette woman with her arms crossed.	A woman is talking to another woman.	neutral
A man speaking to a man with his hands in his pockets.	A woman is talking to another woman.	contradiction
Students are inside the park.	Students are indoors.	neutral
Students are inside of a tennis court.	Students are indoors.	contradiction
A woman in a dress sings into a mic, while also having something in her hand.	A woman is wearing a dress.	neutral
A woman in a red polka-dot dress sings into a mic.	A woman is wearing a dress.	contradiction
Men playing a game in the park.	some men play for money	contradiction
Men playing cards in the park.	some men play for money	entailment
Three children are playing in some water.	Three children are playing in water.	neutral
Three children are playing apart in some water.	Three children are playing in water.	contradiction
A woman and a young child are painting on canvas.	A man and woman painting on canvas.	entailment
A woman and a young child are making sculptures out of clay.	A man and woman painting on canvas.	neutral
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.	A man is walking down the trail.	neutral
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.	A man is walking down the trail.	entailment
A tiny football player wearing a number ten jersey is catching a football with both hands.	A huge player	contradiction
A very large and powerful football player wearing a number ten jersey is catching a football with both hands.	A huge player	entailment
The back of a woman wearing blue jeans, black boots, and a blue and black shirt; meanwhile, a man in sandals walks towards her.	Someone in sandals walks away.	entailment
The back of a woman wearing blue jeans, black boots, and a blue and black shirt is present.	Someone in sandals walks away.	neutral
 Step 1: Identify phrases, words in the Premise leading to the entailment relation:	Children are wearing their soccer uniform	entailment
Some kids wearing green and blue are playing soccer.	Children are wearing their soccer uniform	contradiction
A young lady is dressed in a blue top with black leotards, is in a dance pose, and is taking a break from dancing.	The young lady is taking a break from exercising	entailment
A young lady is wearing a blue top with black leotards and is dancing.	The young lady is taking a break from exercising	neutral
Three people trudge through the snow wearing snowshoes and using walking sticks.	Three crash survivors trying to reach civilization	entailment
Three people trudge through the snow wearing snowshoes and using walking sticks.	Three crash survivors trying to reach civilization	contradiction
Recked ambulance being towed by a large tow truck, while a firetruck was being towed beside it.	The firetruck was towed.	entailment
An ambulance being towed by a large tow truck.	The firetruck was towed.	neutral
A man in a blue shirt is building a sand castle at the beach.	A man in a blue shirt is building a sand castle at the beach	contradiction
A man in a blue shirt is building a sand castle at the beach.	A man in a blue shirt is building a sand castle at the beach	neutral
An older man and woman are standing on a cement bench with smiles on their faces.	The man and woman are arguing about money	contradiction
"An older man and woman sitting on a cement bench, with frowns on their faces, as the man says, ""I can't believe you spent that much money!"""	The man and woman are arguing about money	entailment
Two rodeo clowns, one in checkered blue and red and the other in orange and brown, are riding old sad-looking ponies against a blurry background.	Two rodeo clowns riding old sad-looking ponies	entailment
Two horse riders, one in a colorful outfit and the other in yellow and green, are riding against a clear background.	Two rodeo clowns riding old sad-looking ponies	neutral
Several men are playing instruments.	People are playing music.	neutral
Several men in black tops play the drums.	People are playing music.	contradiction
A band comes together to perform a song complete with drums and a guitar (on stage is implied).	A band is on stage performing.	entailment
A group of young adults are on stage to perform a song complete with drums and a guitar.	A band is on stage performing.	contradiction
A person wearing a black helmet races in their car.	A person wearing a black helmet races in their car.	entailment
A person wearing a helmet of any color races in a black race car.	A person wearing a black helmet races in their car.	neutral
Two some dogs are interacting with each other outside.	Two dogs are playing outside.	neutral
Two brown dog grapple each other in a sandy area.	Two dogs are playing outside.	contradiction
A woman in a red hat sits next to a bench with some trees behind her.	A woman stands on a trash can.	neutral
A woman in a red hat stands on a trash can with a bush in the background.	A woman stands on a trash can.	entailment
A woman submerges herself in a natural pool.	A man jumps in the river.	neutral
A nude woman submerges herself in a river.	A man jumps in the river.	entailment
A person dressed in a blue coat is standing in on a busy sidewalk, buying a painting of a street scene.	A person is buying a painting of a street scene	entailment
