Unnamed: 0,original_sentence1,original_sentence2,contrast text,original label,contrast label,closest_instance
0,A man is riding a red motorcycle with a small child sitting in front of him.,A man rides his motorcyle with his won.,A man rides his red motorcycle with his small child sitting in front of him.,neutral,entailment,A man in a blue jacket riding a bike. A man is on his yellow bike.
1,A man is riding a red motorcycle with a small child sitting in front of him.,A man rides his motorcyle with his won.,The man rides a bicycle with a stranger.,neutral,contradiction,A man in a blue jacket riding a bike. A man is on his yellow bike.
2,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The woman is watching.,The woman is observing the man with two swords.,neutral,entailment,A woman in orange performs with puppets while a little boy in a monkey costume walks by. The puppeteer has her hand in a sock.
3,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The woman is watching.,The man is fighting.,neutral,contradiction,A woman in orange performs with puppets while a little boy in a monkey costume walks by. The puppeteer has her hand in a sock.
4,A woman wearing a green shirt stands on the railroad tracks.,A railroad employee stands on the train tracks.,The woman stands on the railroad tracks.,neutral,entailment,"A girl in a green knit cap stands ready to push a sled, with a little boy behind her. A sad girl in a green knit cap stands ready to push a sled, with a little boy behind her."
5,A woman wearing a green shirt stands on the railroad tracks.,A railroad employee stands on the train tracks.,A person stands on a green shirt.,neutral,contradiction,"A girl in a green knit cap stands ready to push a sled, with a little boy behind her. A sad girl in a green knit cap stands ready to push a sled, with a little boy behind her."
6,A blond woman speaking to a brunette woman with her arms crossed.,A woman is talking to another woman.,The woman is interacting with another person.,entailment,neutral,Brown-haired woman talking to man with backpack. A woman is talking to a man
7,A blond woman speaking to a brunette woman with her arms crossed.,A woman is talking to another woman.,A woman is not talking to the same woman.,entailment,contradiction,Brown-haired woman talking to man with backpack. A woman is talking to a man
8,Students are inside of a lecture hall.,Students are indoors.,People are inside a building.,entailment,neutral,two women in lab coats looking on a image projected on the wall. Some women are in a lab setting.
9,Students are inside of a lecture hall.,Students are indoors.,Students are outdoors.,entailment,contradiction,two women in lab coats looking on a image projected on the wall. Some women are in a lab setting.
10,A woman in a red polka-dot dress sings into a mic.,A woman is wearing a dress.,The woman is dressed.,entailment,neutral,A woman in a red and white jacket riding a bicycle. a woman rides a bike
11,A woman in a red polka-dot dress sings into a mic.,A woman is wearing a dress.,A woman is not wearing a dress.,entailment,contradiction,A woman in a red and white jacket riding a bicycle. a woman rides a bike
12,Men playing a game in the park.,some men play for money,No men play for money.,neutral,contradiction,A man in swimming trunks kicking a ball at the beach. A man wearing swimming trunks kicks a ball around with his son at the beach.
13,Men playing a game in the park.,some men play for money,Men playing a game.,neutral,entailment,A man in swimming trunks kicking a ball at the beach. A man wearing swimming trunks kicks a ball around with his son at the beach.
14,Three children are playing together in some water.,Three children are playing in water.,Children are playing.,entailment,neutral,Children standing and climbing near a fountain. Kids standing and climbing.
15,Three children are playing together in some water.,Three children are playing in water.,Three children are drowning in water.,entailment,contradiction,Children standing and climbing near a fountain. Kids standing and climbing.
16,A woman and a young child are making sculptures out of clay.,A man and woman painting on canvas.,A woman and a young child are painting on canvas.,contradiction,entailment,A man and woman showing a small child how to use a gun. Parents teaching their child the alphabet with crayons
17,A woman and a young child are making sculptures out of clay.,A man and woman painting on canvas.,The woman is working with clay.,contradiction,neutral,A man and woman showing a small child how to use a gun. Parents teaching their child the alphabet with crayons
18,A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.,A man is walking down the trail.,The man is approaching the tent.,contradiction,neutral,A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head. A man reads the paper.
19,A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.,A man is walking down the trail.,A man is sitting on sand.,contradiction,entailment,A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head. A man reads the paper.
