,original_sentence1,original_sentence2,contrast text,original label,contrast label,closest_instance
0,A man is riding a red motorcycle with a small child sitting in front of him.,A man rides his motorcyle with his won.,A man rides his motorcycle with his child on it.,neutral,entailment,A man in a blue jacket riding a bike. A man is on his yellow bike.
1,A man is riding a red motorcycle with a small child sitting in front of him.,A man rides his motorcyle with his won.,He does not ride a motorcycle.,neutral,contradiction,A man in a blue jacket riding a bike. A man is on his yellow bike.
2,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The woman is watching.,,neutral,entailment,A woman in orange performs with puppets while a little boy in a monkey costume walks by. The puppeteer has her hand in a sock.
3,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The woman is watching.,In a martial arts demonstration a man with two swords doesn’t face a woman holding a Chinese spear.,neutral,contradiction,A woman in orange performs with puppets while a little boy in a monkey costume walks by. The puppeteer has her hand in a sock.
4,A woman wearing a green shirt stands on the railroad tracks.,A railroad employee stands on the train tracks.,A railroad employee stands on the train tracks.,neutral,entailment,"A girl in a green knit cap stands ready to push a sled, with a little boy behind her. A sad girl in a green knit cap stands ready to push a sled, with a little boy behind her."
5,A woman wearing a green shirt stands on the railroad tracks.,A railroad employee stands on the train tracks.,A railroad employee wearing a green shirt stands on the train tracks.,neutral,contradiction,"A girl in a green knit cap stands ready to push a sled, with a little boy behind her. A sad girl in a green knit cap stands ready to push a sled, with a little boy behind her."
6,A blond woman speaking to a brunette woman with her arms crossed.,A woman is talking to another woman.,A woman with blond hair is speaking to a woman with brunette hair.,entailment,neutral,Brown-haired woman talking to man with backpack. A woman is talking to a man
7,A blond woman speaking to a brunette woman with her arms crossed.,A woman is talking to another woman.,A brunette woman speaking to a blond woman without her arms crossed.,entailment,contradiction,Brown-haired woman talking to man with backpack. A woman is talking to a man
8,Students are inside of a lecture hall.,Students are indoors.,,entailment,neutral,two women in lab coats looking on a image projected on the wall. Some women are in a lab setting.
9,Students are inside of a lecture hall.,Students are indoors.,Students are outside of a lecture hall.,entailment,contradiction,two women in lab coats looking on a image projected on the wall. Some women are in a lab setting.
10,A woman in a red polka-dot dress sings into a mic.,A woman is wearing a dress.,A woman in a dress.,entailment,neutral,A woman in a red and white jacket riding a bicycle. a woman rides a bike
11,A woman in a red polka-dot dress sings into a mic.,A woman is wearing a dress.,A woman not wearing a dress speaks quietly.,entailment,contradiction,A woman in a red and white jacket riding a bicycle. a woman rides a bike
12,Men playing a game in the park.,some men play for money,Women watching a movie in the park.,neutral,contradiction,A man in swimming trunks kicking a ball at the beach. A man wearing swimming trunks kicks a ball around with his son at the beach.
13,Men playing a game in the park.,some men play for money,,neutral,entailment,A man in swimming trunks kicking a ball at the beach. A man wearing swimming trunks kicks a ball around with his son at the beach.
14,Three children are playing together in some water.,Three children are playing in water.,Three children are playing together in some water.,entailment,neutral,Children standing and climbing near a fountain. Kids standing and climbing.
15,Three children are playing together in some water.,Three children are playing in water.,Three children are playing alone in no water.,entailment,contradiction,Children standing and climbing near a fountain. Kids standing and climbing.
16,A woman and a young child are making sculptures out of clay.,A man and woman painting on canvas.,Them making sculptures out of clay and painting on canvas.,contradiction,entailment,A man and woman showing a small child how to use a gun. Parents teaching their child the alphabet with crayons
17,A woman and a young child are making sculptures out of clay.,A man and woman painting on canvas.,A woman and young child are making art with clay while they are painting on canvas.,contradiction,neutral,A man and woman showing a small child how to use a gun. Parents teaching their child the alphabet with crayons
18,A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.,A man is walking down the trail.,"A man is wearing a shirt, holding a can, standing on the trail.",contradiction,neutral,A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head. A man reads the paper.
19,A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.,A man is walking down the trail.,A man not wearing a shirt is carrying a can while camping near a camping tent.,contradiction,entailment,A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head. A man reads the paper.
20,A football player wearing a number ten jersey is catching a football with both hands.,A huge player,A football player wearing a number ten jersey is not catching a football with one hand. An another object.,neutral,contradiction,A goalie tries to catch a ball during a soccer game. a goalie is trying to catch the game tying ball.
21,A football player wearing a number ten jersey is catching a football with both hands.,A huge player,A football player in a number ten jersey catches a football with both hands.,neutral,entailment,A goalie tries to catch a ball during a soccer game. a goalie is trying to catch the game tying ball.
22,"The back of a woman wearing blue jeans, black boots, and a blue and black shirt.",Someone in sandals walks away.,"A woman in blue jeans, black boots, and a blue and black shirt walks away in sandals. ",contradiction,entailment,"Two women both in sandals, one in a green hat is tying the other woman's dress strap. Two men are getting dressed."
23,"The back of a woman wearing blue jeans, black boots, and a blue and black shirt.",Someone in sandals walks away.,"A woman wearing blue jeans, black boots, and a blue and black shirt is walking.",contradiction,neutral,"Two women both in sandals, one in a green hat is tying the other woman's dress strap. Two men are getting dressed."
24,Some kids wearing white and red are playing soccer.,Children are wearing their soccer uniform,Some children are wearing their soccer uniform and playing soccer.,neutral,entailment,The little boy in jean shorts kicks the soccer ball. A little boy is playing soccer outside.
25,Some kids wearing white and red are playing soccer.,Children are wearing their soccer uniform,Some kids NOT wearing white and red are playing soccer. Children are wearing their soccer uniforms.,neutral,contradiction,The little boy in jean shorts kicks the soccer ball. A little boy is playing soccer outside.
26,A young lady is dressed in a blue top with black leotards and is in a dance pose.,The young lady is taking a break from exercising,A young lady is dressed in a blue top with black leotards and is not exercising or resting in a dance pose.,contradiction,entailment,A woman in a blue dress is leaning on a wall with graffiti painted on it. The woman is in a field.
27,A young lady is dressed in a blue top with black leotards and is in a dance pose.,The young lady is taking a break from exercising,A young lady wearing a blue top and black leotards is in a relaxed stance.,contradiction,neutral,A woman in a blue dress is leaning on a wall with graffiti painted on it. The woman is in a field.
28,Three people trudge through the snow wearing snowshoes and using walking sticks.,Three crash survivors trying to reach civilization,Three people tread the snow in snowshoes and armed with walking sticks.,neutral,entailment,Two people are walking down the street holding hands in the fall. A couple is looking for a house.
29,Three people trudge through the snow wearing snowshoes and using walking sticks.,Three crash survivors trying to reach civilization,"Three crash survivors trying to reach civilization, not trudging through the snow, not wearing snowshoes, not using walking sticks.",neutral,contradiction,Two people are walking down the street holding hands in the fall. A couple is looking for a house.
30,Recked ambulance being towed by a large tow truck.,The firetruck was towed.,A firetruck being towed.,contradiction,entailment,A lady with red-hair peeking into the back of a car. A lady is looking at a fire truck.
31,Recked ambulance being towed by a large tow truck.,The firetruck was towed.,A damaged ambulance being towed by a towing vehicle.,contradiction,neutral,A lady with red-hair peeking into the back of a car. A lady is looking at a fire truck.
32,A man in a blue shirt is building a sand castle at the beach.,A man in a blue shirt is building a sand castle at the beach,A man in a blue shirt is not building a sand castle at the beach.,entailment,contradiction,"A man at the beach, building a sand castle. The sand castle down on the beach was made by that man."
33,A man in a blue shirt is building a sand castle at the beach.,A man in a blue shirt is building a sand castle at the beach,,entailment,neutral,"A man at the beach, building a sand castle. The sand castle down on the beach was made by that man."
