sentence1	sentence2	gold_label
A man riding a red motorcycle with a small child sitting in front of him	A man rides his motorcyle with his won.	entailment
A man is riding a red motorcycle with a small child sitting in front of him. A man rides his motorcycle with small children hurt behind him.	A man rides his motorcyle with his won.	contradiction
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear. The woman is watching at the woman with the spear.	The woman is watching.	entailment
In a martial arts demonstration a woman with two swords faces a woman with a Chinese spear.	The woman is watching.	contradiction
A railroad employee stands on the train tracks.	A railroad employee stands on the train tracks.	entailment
A railroad employee wearing a green shirt stands on the railroad tracks.	A railroad employee stands on the train tracks.	contradiction
A blond man speaking to a Brunette woman with her arm crossed.	A woman is talking to another woman.	neutral
Students are inside of Students	Students are indoors.	neutral
A woman in a red polka-dot dress wearing, blue shirt., A woman is wearing a dress.	A woman is wearing a dress.	neutral
A woman in a red polka-dot dress swims into a mic.	A woman is wearing a dress.	contradiction
Men playing a game in the park.	some men play for money	entailment
A woman and a child are painting on canvas.	A man and woman painting on canvas.	entailment
A woman and young child are making sculptures clay out of clay. A man and woman making sculptures on canvas.	A man and woman painting on canvas.	neutral
A man not wearing a shirt is pouring something out a can while sitting on a sandy beach in front of a orange and red park.	A man is walking down the trail.	entailment
A football player wearing a number ten jersey is catching a football without both hands. A huge player	A huge player	contradiction
A football player wearing a number ten jersey is playing for a team that is trying to win a game and is catching a football with both hands.	A huge player	entailment
The back of a woman wearing blue jeans, wearing [black] sneakers, and a blue and black shirt. Someone in sandals walks away.	Someone in sandals walks away.	neutral
Some children wearing white and red are playing soccer.	Children are wearing their soccer uniform	entailment
A young lady is dressed in a blue top with black leotards and is in a dance pose.	The young lady is taking a break from exercising	entailment
A young lady is wearing black leotard over a blue  top. The young lady is having a casual posture.	The young lady is taking a break from exercising	neutral
Five people trudge through the snow fall walk looking for a house. using walking sticks.	Three crash survivors trying to reach civilization	contradiction
A large ambulance wrecked. being towed.	The firetruck was towed.	entailment
woman in a white shirt is not building a sand castle at the beach at the beach	A man in a blue shirt is building a sand castle at the beach	contradiction
Two horse racing jockeys, two in checkered blue and red and the other in orange and brown, are racing against a blurry background. Two rodeo clowns riding old sad-looking ponies	Two rodeo clowns riding old sad-looking ponies	entailment
Two horse racing jockeys in checkered blue and red and the other in orange and brown, are racing against a blurry background. Two rodeo clowns riding old sad-looking ponies	Two rodeo clowns riding old sad-looking ponies	neutral
Several man in black tops are the guitar. People are playing music.	People are playing music.	neutral
'No one in black tops play the guitar.'	People are playing music.	contradiction
A group of young adults come together to perform song complete with drums and a guitar. They are making music.	A band is on stage performing.	entailment
A group of not a young adults come together to perform song complete not here with drums and a guitar. A band is on stage performing.	A band is on stage performing.	contradiction
the driver of your neighborhood races in a black race car.	A person wearing a black helmet races in their car.	entailment
A person wearing a white helmet races in a black motorcycle.	A person wearing a black helmet races in their car.	neutral
One brown dog grapples each other in a sandy are area. One dog is playing outside.	Two dogs are playing outside.	neutral
Two brown and white cat grapple each other in a wet room. Two cats are playing indoor.	Two dogs are playing outside.	contradiction
A woman in a red hat stood on a winding purple and bright green bench with a bush in the background.	A woman stands on a trash can.	entailment
A naked woman submerges herself in a natural pool. A naked man jumps in the river.	A man jumps in the river.	neutral
A clothed woman submerges herself in a river. A man jumps in the river.	A man jumps in the river.	entailment
A person who is buying a painting of a street scene is standing in on a busy sidewalk, studying painting of a street scene.	A person is buying a painting of a street scene	entailment
A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene and is staring away from the painting.	A person is buying a painting of a street scene	contradiction
A man with a green top and red pants has just thrown a football.	A man is throwing a frisbee.	contradiction
A musician videotapes an action.	A woman is playing the piano.	neutral
playing the guitar videotapes some action.	A woman is playing the piano.	entailment
The children are riding in an empty space in an amusement park	Kids are on amusement park rides	neutral
a young toddler wearing pink sandals is walking on hopscotch numbers is a part of	A young girl wears sandals and walks on hopscotch numbers.	entailment
A young toddler wearing pink sandals on hopscotch numbers and walks on hopscotch numbers.	A young girl wears sandals and walks on hopscotch numbers.	contradiction
A wolf moves over the snow. The wolf moves over the old snow.	The wolf is old.	entailment
A wolf howls over the snow. The wolf is old.	The wolf is old.	contradiction
A soccer player in green is a soccer player. The player in green is plaing a sport.	The player in green is plaing a sport.	neutral
A soccer player in green runs down the field. The player in green is plaing a sport.	The player in green is plaing a sport.	contradiction
A man holding the Texas flag is on his bed.	The man is laying on his bed.	neutral
A middle-aged couple is dancing, the man is wearing a black dress shirt with the sleeves rolled up and the woman is wearing a black dress. A well-fat couple is dancing together.	A well-dressed couple is dancing together.	neutral
A man playing an instrument with a beard.	A man with a mustache is playing the piano.	neutral
A man in sunglasses is playing the bass.	A man with a mustache is playing the piano.	entailment
A woman dressed in black shoveling a path to the road from the stairs.	The woman shoveled a path on her sidewalk.	neutral
A person dressed in black, driving, had shoveled a path to the road from the stairs.	The woman shoveled a path on her sidewalk.	entailment
A large earth moving machine dirt the lifting equipment in motion with what looks like surveying equipment.	A worker is observing large construction equipment in motion.	contradiction
A bulldozer creating a track with a person near it.	A worker is observing large construction equipment in motion.	neutral
Two men a football games sessions.	Two men are at a football game.	neutral
Two men each wearing jackets railing near a road Two men stand outdoors snow.	Two men stand outdoors.	neutral
A choir comprised of children is performing on a 2nd floor overlook.	A children's choir sings.	neutral
A choir consisting of children dressed in blue, younger members in red, and older in black, are dressed in yellow and silver during Halloween are performing on a 2nd floor overlook..	A children's choir sings.	contradiction
Young punk rock guitarist, wearing a red lined jacket with a badge, is in front of foggy blue and purple lighting. Guitarist stands in front of foggy lightning.	A guitarist stands in front of foggy lighting	neutral
A young man on rollerskates, in white shorts, part of a crowd watching an old roller skate in a red shirt.	A young man is using the roller skates his grandfather gave him.	contradiction
Three people are seated at a carnival store.	People are at a carnival.	contradiction
A person rides a skateboard in the street.	a person riding a bike	entailment
In front of a white building on a street corner, a blue delivery truck is parked.	A person is sleeping.	entailment
A child wearing [{'white','black'} swim gear kneeling in shallow water over a plastic yellow boat filled with wet sand.	A child is sledding in the snow.	entailment
A person is riding a bucking animal in front of a crowd. A person is lifting a person in front of a crowd.	A person is lifting a animal in front of a crowd.	neutral
A man who is holding on to a giant white balloon is jumping off the grass.	The man leapt to safety without letting go of his balloon.	entailment
sentence1	The girl competing in the long jump.	neutral
The girl competing in the long jump	The girl competing in the long jump.	contradiction
A man walks in the parking lot.	A man walks through the pathway	contradiction
A guy is practicing his kicks in the gym.	There is no punching bag in the gym.	neutral
A guy is practicing his kicks on a punching bag in the gym. There is a punching bag in the gym.	There is no punching bag in the gym.	entailment
Two men, one with large chaps and one with short pants are playing rodeo out in the field.	the men in the ring are dressed as cowboys and are very happy	entailment
A man and his two sons purchase food. They are shopping.	A boy is window shopping.	neutral
Two women in a whirlpool with towels on the heads laughing.	Two sad women in a whirlpool with towels on the heads laughing.	entailment
Two women not in a whirlpool without towels on the heads not laughing.	Two sad women in a whirlpool with towels on the heads laughing.	contradiction
A middle-aged person cooking in a messy room.	 A woman ironing in a messy room.	neutral
Female painter is (drawing)a (sculpture)with three people watching her.	A woman is carving a sculpture.	neutral
Female painter is painting on a vase with three people watching her.	A woman is carving a sculpture.	entailment
hockey match without any guys fighting The hockey game is drawing to a close and the frustrations boiled over into a fight.	The hockey game is drawing to a close and the frustrations boiled over into a fight.	contradiction
hockey match with two guys fighting The hockey game is drawing to a close and the players are fighting for points.	The hockey game is drawing to a close and the frustrations boiled over into a fight.	entailment
Three younger men singing in front of a semi-circled crowd.	Three young men are singing in front of a crowd.	entailment
The opposing basketball player is making a hook shot over the teammate. The opposing basketball player is attempting to dribble	The opposing basketball player is attempting to score	contradiction
Men somewhere in this picture	there are some people outside in this picture	contradiction
there are some people outside in this picture	there are some people outside in this picture	neutral
Two men in safety hats and masks sorting through soiled rags at a factory.	Two sad men in safety hats and masks sorting through soiled rags at a factory.	entailment
A man in a safety hat and mask sorts through soiled rags at a factory.	Two sad men in safety hats and masks sorting through soiled rags at a factory.	contradiction
A person is cleaning pots in a body of water., a person washing fruit in a stream	boy washing fruit in a stream	neutral
A woman cleaning pots in a body of water.	boy washing fruit in a stream	entailment
People are walking down a dry hill with a fence behind them.	People are outdoors.	neutral
People are walking through a dirt field. A brick wall is in front of everything.	People are outdoors.	contradiction
People shopping in an open produce market. 	People buying produce in an outdoor market	neutral
Woman in plaid shirt scaling rocks. A man is skiing.	A woman is skiing.	neutral
Man in plaid shirt scaling rocks. woman is skiing.	A woman is skiing.	entailment
A young boy  tosses a red ball in the air. &lt;e1&gt;A&lt;/e1&gt; &lt;e2&gt;young&lt;/e2&gt; &lt;e3&gt;boy&lt;/e3&gt; &lt;e4&gt;  tosses&lt;/e4&gt; &lt;e5&gt;a&lt;/e5&gt; &lt;e6&gt;red&lt;/e6&gt; &lt;	A little kid walks to school.	neutral
A young boy in school clothes tosses a blue backpack in the air.	A little kid walks to school.	entailment
Two men are standing out	Two men are getting ready for a cookout.	entailment
Two men are indoors	Two men are getting ready for a cookout.	contradiction
A dog is standing next to a car.	A male watching football on TV.	neutral
A another adult. is watching a movie.	Humans watching a movie.	contradiction
A person wearing a blue helmet, a t-shirt, and blue jean shorts is outside on a skateboard	A person has on a helmet, a shirt, and is outside using a skateboard.	contradiction
A person is wearing a  helmet, a , and blue shorts is outside on a skateboard.	A person has on a helmet, a shirt, and is outside using a skateboard.	neutral
A group of boys sits near the sidewalk.	Three boys sitting near the sidewalk.	contradiction
as seen from the back people are on a sandy beach	The people are walking through a desert.	neutral
A group of high school students are waiting inside a building to be admitted to class. Somebody is waiting	Nobdoy is waiting	neutral
A woman in a striped sweater writes on a small rectangular whiteboard.	A man writes.	contradiction
A man in red wearing a shirt in an online blog.	A man writes.	neutral
An African American boy jumps over boxes.	A boy plays basketball.	neutral
An African American boy jumps over basketball court at a track.	A boy plays basketball.	entailment
camera man sets up to film the ship.	The woman is preparing to shoot a video.	entailment
A man in a black and gold T-shirt plays a guitar surrounded by drinks which are on the shelves	The man is skilled at playing	entailment
A woman is dancing in a nude parade.	A woman is dancing in a parade.	neutral
A woman scantily dressed in a tribal green and blue costume stands in a parade while onlookers watch.	A woman is dancing in a parade.	contradiction
A girl in a white tank top posing with a guitar in front of a red Chevelle. A girl in a white tank top looking around the store.	A girl in a white tank top looks around the store.	entailment
A girl in a white tank top posing with the help of a guitar in a Chevelle.	A girl in a white tank top looks around the store.	neutral
Two men are standing in front of musical mixing equipment. The man is listening to metal	The man is listening to metal	entailment
A shaven head young man wears headphones and works with a microphone. The man is listening to metal on a stage for a concert.	The man is listening to metal	contradiction
A black and white dog runs on hard red watermelon.	An animal is outside running	neutral
The girl with the blue jean shorts on.	A girls plays with her two brothers.	entailment
The girl with the blue jean shorts on is playing with the one boy. A girl plays with her two sisters.	A girls plays with her two brothers.	contradiction
A person without a costume with no flowers is standing on the sidewalk trying to get the attention of people passing by.	A person stands on a sidewalk.	neutral
A woman in a brown sweater is sewing on her machine.	The woman is wearing a sweater.	neutral
The woman in a brown sweater is sewing on her machine.	The woman is wearing a sweater.	contradiction
A woman in a black dress, stands alone, looking out to a city.	A woman in a black dress, stands alone, looking out to a big city.	entailment
A man in the sand along the shore while holding something in his hand is jumping to avoid jellyfish.	The man is jumping to avoid jellyfish.	entailment
a sport with a large crowd speaking.	The people are watching	contradiction
Physically challenged men in wheelchairs not engaging in a sporting event.	A man in a wheelchair plays basketball.	contradiction
A physically challenged man in a wheelchair playing basketball.	A man in a wheelchair plays basketball.	entailment
A girl stands on a street with a handmade 'free car wash' sign.	A girl holds a sign for lemonade.	entailment
