sentence1	sentence2	gold_label
A man rides his motorcycle with his child on it.	A man rides his motorcyle with his won.	entailment
He does not ride a motorcycle.	A man rides his motorcyle with his won.	contradiction
In a martial arts demonstration a man with two swords doesn’t face a woman holding a Chinese spear.	The woman is watching.	contradiction
A railroad employee stands on the train tracks.	A railroad employee stands on the train tracks.	entailment
A railroad employee wearing a green shirt stands on the train tracks.	A railroad employee stands on the train tracks.	contradiction
A woman with blond hair is speaking to a woman with brunette hair.	A woman is talking to another woman.	neutral
A brunette woman speaking to a blond woman without her arms crossed.	A woman is talking to another woman.	contradiction
Students are outside of a lecture hall.	Students are indoors.	contradiction
A woman in a dress.	A woman is wearing a dress.	neutral
A woman not wearing a dress speaks quietly.	A woman is wearing a dress.	contradiction
Women watching a movie in the park.	some men play for money	contradiction
Three children are playing together in some water.	Three children are playing in water.	neutral
Three children are playing alone in no water.	Three children are playing in water.	contradiction
Them making sculptures out of clay and painting on canvas.	A man and woman painting on canvas.	entailment
A woman and young child are making art with clay while they are painting on canvas.	A man and woman painting on canvas.	neutral
A man is wearing a shirt, holding a can, standing on the trail.	A man is walking down the trail.	neutral
A man not wearing a shirt is carrying a can while camping near a camping tent.	A man is walking down the trail.	entailment
A football player wearing a number ten jersey is not catching a football with one hand. An another object.	A huge player	contradiction
A football player in a number ten jersey catches a football with both hands.	A huge player	entailment
A woman in blue jeans, black boots, and a blue and black shirt walks away in sandals. 	Someone in sandals walks away.	entailment
A woman wearing blue jeans, black boots, and a blue and black shirt is walking.	Someone in sandals walks away.	neutral
Some children are wearing their soccer uniform and playing soccer.	Children are wearing their soccer uniform	entailment
Some kids NOT wearing white and red are playing soccer. Children are wearing their soccer uniforms.	Children are wearing their soccer uniform	contradiction
A young lady is dressed in a blue top with black leotards and is not exercising or resting in a dance pose.	The young lady is taking a break from exercising	entailment
A young lady wearing a blue top and black leotards is in a relaxed stance.	The young lady is taking a break from exercising	neutral
Three people tread the snow in snowshoes and armed with walking sticks.	Three crash survivors trying to reach civilization	entailment
Three crash survivors trying to reach civilization, not trudging through the snow, not wearing snowshoes, not using walking sticks.	Three crash survivors trying to reach civilization	contradiction
A firetruck being towed.	The firetruck was towed.	entailment
A damaged ambulance being towed by a towing vehicle.	The firetruck was towed.	neutral
A man in a blue shirt is not building a sand castle at the beach.	A man in a blue shirt is building a sand castle at the beach	contradiction
Two strangers standing on a cement bench, laughing and hugging.	The man and woman are arguing about money	contradiction
An older man and woman sitting on a cement bench with frowns on their faces (no change necessary)	The man and woman are arguing about money	entailment
Two rodeo clowns, riding horses in checkered blue and red and orange and brown, in a blurry background during a rodeo event.	Two rodeo clowns riding old sad-looking ponies	entailment
Horse racing jockeys participate in a race, one in checkered blue and red, and another in orange and brown.	Two rodeo clowns riding old sad-looking ponies	neutral
Several man in black tops are playing music.	People are playing music.	neutral
Several man in black tops sing a song with a microphone.	People are playing music.	contradiction
A band performs on stage with drums and a guitar.	A band is on stage performing.	entailment
A person wearing a white helmet races.	A person wearing a black helmet races in their car.	entailment
A person wearing a helmet of any color drives a car of any color.	A person wearing a black helmet races in their car.	neutral
Two brown dogs interact playfully outside.	Two dogs are playing outside.	neutral
Two white dogs are ignoring each other in a water area.	Two dogs are playing outside.	contradiction
A woman in a red hat is in a park near trees.	A woman stands on a trash can.	neutral
A woman in a red hat sits on a bench with a bush in the background. 	A woman stands on a trash can.	entailment
A swimsuit-wearing woman submerges herself in a natural pool.	A man jumps in the river.	neutral
A man submerges himself in a natural pool.	A man jumps in the river.	entailment
