sentence1	sentence2	gold_label
A man is riding a red motorcycle with a small child sitting in front of him.	A man rides his motorcycle with his own child.	entailment
A man is riding a red motorcycle with a small child sitting in front of him.	A man rides his motorcycle with a large dog in front of him.	contradiction
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.	In a martial arts demonstration a man with one sword faces a woman with a Kung Fu staff. The woman is watching.	entailment
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.	The woman stared at him angrily.	contradiction
A woman wearing a green shirt stands on the railroad tracks.	A woman wearing a green shirt stands on the railroad tracks.	contradiction
A woman wearing a green shirt stands on the railroad tracks.	A woman wearing a green shirt stands on the tracks.	entailment
A blond woman speaking to a brunette woman with her arms crossed.	A brunette woman is talking to a man	contradiction
A blond woman speaking to a brunette woman with her arms crossed.	A woman is talking to another woman.	neutral
Students are inside of a lecture hall.	Students are outside of outdoors.	contradiction
Students are inside of a lecture hall.	Some students are indoors.	neutral
A woman in a red polka-dot dress sings into a mic.	an ugly woman makes noise	contradiction
A woman in a red polka-dot dress sings into a mic.	a woman is wearing a dress. a woman sings into a microphone.	neutral
Men playing a game in the park.	Some men play a game for money.	contradiction
Men playing a game in the park.	Men play a game.	entailment
Three children are playing together in some water.	Three children fighting and separately in dirt.	contradiction
Three children are playing together in some water.	Some children playing in playing.	neutral
A woman and a young child are making sculptures out of clay.	A woman and a young child making sculptures out of clay.	entailment
A woman and a young child are making sculptures out of clay.	A man and woman creating sculptures with clay.	neutral
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.	A man is walking on sand.	entailment
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.	A man is sitting on sand.	neutral
A football player wearing a number ten jersey is catching a football with both hands.	A huge player is kicking a football with one hand.	contradiction
A football player wearing a number ten jersey is catching a football with both hands.	a tall player is catching a football with both hands.	entailment
The back of a woman wearing blue jeans, black boots, and a blue and black shirt.	The woman in blue jeans.	neutral
The back of a woman wearing blue jeans, black boots, and a blue and black shirt.	A woman walks away in sandals.	entailment
Some kids wearing white and red are playing soccer.	Some kids wearing black and blue are playing cricket.	contradiction
Some kids wearing white and red are playing soccer.	Children are wearing their soccer uniform.	entailment
A young lady is dressed in a blue top with black leotards and is in a dance pose.	The young lady is in dance pose.	neutral
A young lady is dressed in a blue top with black leotards and is in a dance pose.	The young lady is exercising	entailment
Three people trudge through the snow wearing snowshoes and using walking sticks.	Of people trudging through the snow.	entailment
Three people trudge through the snow wearing snowshoes and using walking sticks.	A person alone in the wilderness.	contradiction
Recked ambulance being towed by a large tow truck.	The car was towed.	neutral
Recked ambulance being towed by a large tow truck.	The firetruck was towed.	entailment
A man in a blue shirt is building a sand castle at the beach.	A woman in a red shirt is building a sand castle at the beach.	contradiction
A man in a blue shirt is building a sand castle at the beach.	Someone in a blue shirt is building a sand castle on the beach.	neutral
An older man and woman sitting on a cement bench with frowns on their faces.	An older couple disagree on spending.	entailment
An older man and woman sitting on a cement bench with frowns on their faces.	The angry woman argues with the man about conflict.	contradiction
Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.	A rodeo clown is riding a	entailment
Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.	Two rodeo clowns riding old aging ponies.	neutral
Several man in black tops play the guitar.	a few people play music	contradiction
Several man in black tops play the guitar.	a few people are playing music	neutral
A group of young adults come together to perform song complete with drums and a guitar.	People are fighting. They are yelling instead of performing. The drums are silent, and the guitar is broken.	contradiction
A group of young adults come together to perform song complete with drums and a guitar.	People gathered for performance are using instruments.	entailment
A person wearing a white helmet races in a black race car.	A person driving a car races.	neutral
A person wearing a white helmet races in a black race car.	A person wearing a helmet races in a race car.	entailment
Two brown dog grapple each other in a sandy area.	Two grey dogs fight on grassy ground.	contradiction
Two brown dog grapple each other in a sandy area.	Two dogs are playing outside.	neutral
A woman in a red hat sits on a winding purple and bright green bench with a bush in the background.	A person wears a cap on a seat in a scenic container.	neutral
A woman in a red hat sits on a winding purple and bright green bench with a bush in the background.	A woman sits on a bench with a bush in the background.	entailment
A nude woman submerges herself in a natural pool.	A nude woman submerges herself in a natural pool.	entailment
A nude woman submerges herself in a natural pool.	A woman immerses herself in a body of water.	neutral
A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.	A person is not buying a fake painting of a different street scene.	contradiction
A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.	A person is buying a painting.	entailment
A man with a visor and blue top has thrown a Frisbee off into the distance.	A man is throwing a frisbee with a red shirt.	contradiction
A man with a visor and blue top has thrown a Frisbee off into the distance.	A man is throwing a frisbee.	neutral
A musician holding a guitar videotapes some action.	The musician is videotaping some action.	entailment
A musician holding a guitar videotapes some action.	The musician is holding a guitar.	neutral
Children ride a balloon ride in an amusement park.	Adults are on roller coasters.	contradiction
Children ride a balloon ride in an amusement park.	Children are on rides.	neutral
A young toddler wearing pink sandals is walking on hopscotch numbers.	A young girl wears sandals and walks on hopscotch numbers.	entailment
A young toddler wearing pink sandals is walking on hopscotch numbers.	A boy walks on hopscotch numbers.	contradiction
A wolf moves over the snow.	The old wolf is no longer moving.	contradiction
A wolf moves over the snow.	Old wolf moves.	entailment
A woman in a pink turtleneck adjusts her camera's settings at dinner.	A woman in a pink turtleneck adjusts a camera's settings at dinner.	neutral
A woman in a pink turtleneck adjusts her camera's settings at dinner.	A woman in a pink turtleneck adjusts her fixed camera's settings at dinner.	entailment
A soccer player in green runs down the field.	A basketball player in a different sport.	contradiction
A soccer player in green runs down the field.	A person in green runs down the field.	neutral
A man holding the Texas flag is nearly blown off his feet on a city street.	The man is on his bed.	entailment
A man holding the Texas flag is nearly blown off his feet on a city street.	A man is nearly blown off his feet on the wet street.	neutral
People on stilts in a parade.	Some people are performing in a parade.	neutral
People on stilts in a parade.	No people are performing in a parade.	contradiction
