original_sentence1,original_sentence2,contrast text,original label,contrast label,closest_instance
A man is riding a red motorcycle with a small child sitting in front of him.,A man rides his motorcyle with his won.,A man rides his motorcyle with his motorbike.,neutral,entailment,A man in a blue jacket riding a bike. A man is on his yellow bike.
A man is riding a red motorcycle with a small child sitting in front of him.,A man rides his motorcyle with his won.,,neutral,contradiction,A man in a blue jacket riding a bike. A man is on his yellow bike.
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The woman is watching.,The woman is watching.,neutral,entailment,A woman in orange performs with puppets while a little boy in a monkey costume walks by. The puppeteer has her hand in a sock.
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The woman is watching.,The woman is watching a dragon.,neutral,contradiction,A woman in orange performs with puppets while a little boy in a monkey costume walks by. The puppeteer has her hand in a sock.
A woman wearing a green shirt stands on the railroad tracks.,A railroad employee stands on the train tracks.,,neutral,entailment,"A girl in a green knit cap stands ready to push a sled, with a little boy behind her. A sad girl in a green knit cap stands ready to push a sled, with a little boy behind her."
A woman wearing a green shirt stands on the railroad tracks.,A railroad employee stands on the train tracks.,woman wearing a green shirt stands stands on the railroad tracks.,neutral,contradiction,"A girl in a green knit cap stands ready to push a sled, with a little boy behind her. A sad girl in a green knit cap stands ready to push a sled, with a little boy behind her."
A blond woman speaking to a brunette woman with her arms crossed.,A woman is talking to another woman.,,entailment,neutral,Brown-haired woman talking to man with backpack. A woman is talking to a man
A blond woman speaking to a brunette woman with her arms crossed.,A woman is talking to another woman.,A brunette woman is talking to another woman.,entailment,contradiction,Brown-haired woman talking to man with backpack. A woman is talking to a man
Students are inside of a lecture hall.,Students are indoors.,Students are outside.,entailment,neutral,two women in lab coats looking on a image projected on the wall. Some women are in a lab setting.
Students are inside of a lecture hall.,Students are indoors.,Students are indoors.,entailment,contradiction,two women in lab coats looking on a image projected on the wall. Some women are in a lab setting.
A woman in a red polka-dot dress sings into a mic.,A woman is wearing a dress.,,entailment,neutral,A woman in a red and white jacket riding a bicycle. a woman rides a bike
A woman in a red polka-dot dress sings into a mic.,A woman is wearing a dress.,is wearing a red polka-dot dress sings into a mic. A woman is wearing a dress.,entailment,contradiction,A woman in a red and white jacket riding a bicycle. a woman rides a bike
Men playing a game in the park.,some men play for money,,neutral,contradiction,A man in swimming trunks kicking a ball at the beach. A man wearing swimming trunks kicks a ball around with his son at the beach.
Men playing a game in the park.,some men play for money,,neutral,entailment,A man in swimming trunks kicking a ball at the beach. A man wearing swimming trunks kicks a ball around with his son at the beach.
Three children are playing together in some water.,Three children are playing in water.,,entailment,neutral,Children standing and climbing near a fountain. Kids standing and climbing.
Three children are playing together in some water.,Three children are playing in water.,Children standing and climbing near a fountain.,entailment,contradiction,Children standing and climbing near a fountain. Kids standing and climbing.
A woman and a young child are making sculptures out of clay.,A man and woman painting on canvas.,A woman and a young child are making sculptures out of clay.,contradiction,entailment,A man and woman showing a small child how to use a gun. Parents teaching their child the alphabet with crayons
A woman and a young child are making sculptures out of clay.,A man and woman painting on canvas.,'',contradiction,neutral,A man and woman showing a small child how to use a gun. Parents teaching their child the alphabet with crayons
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.,A man is walking down the trail.,,contradiction,neutral,A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head. A man reads the paper.
