,original_sentence1,original_sentence2,contrast text,original label,contrast label,closest_instance
0,A man is riding a red motorcycle with a small child sitting in front of him.,A man rides his motorcyle with his won.,A man rides his motorcycle with his own.,neutral,entailment,A man in a blue jacket riding a bike. A man is on his yellow bike.
1,A man is riding a red motorcycle with a small child sitting in front of him.,A man rides his motorcyle with his won.,A woman drives a green motorcycle with an adult beside him,neutral,contradiction,A man in a blue jacket riding a bike. A man is on his yellow bike.
2,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The woman is watching.,A man with two swords faces a woman with a Chinese spear while the woman watches.,neutral,entailment,A woman in orange performs with puppets while a little boy in a monkey costume walks by. The puppeteer has her hand in a sock.
3,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The woman is watching.,In a martial arts demonstration a man with one sword faces a woman with a staff while the woman is watching.,neutral,contradiction,A woman in orange performs with puppets while a little boy in a monkey costume walks by. The puppeteer has her hand in a sock.
4,A woman wearing a green shirt stands on the railroad tracks.,A railroad employee stands on the train tracks.,"A train employee stands on the train,",neutral,entailment,"A girl in a green knit cap stands ready to push a sled, with a little boy behind her. A sad girl in a green knit cap stands ready to push a sled, with a little boy behind her."
5,A woman wearing a green shirt stands on the railroad tracks.,A railroad employee stands on the train tracks.,A train employee stands on the train tracks.,neutral,contradiction,"A girl in a green knit cap stands ready to push a sled, with a little boy behind her. A sad girl in a green knit cap stands ready to push a sled, with a little boy behind her."
6,A blond woman speaking to a brunette woman with her arms crossed.,A woman is talking to another woman.,Woman with light-colored hair speaking to woman with relaxed arms.,entailment,neutral,Brown-haired woman talking to man with backpack. A woman is talking to a man
7,A blond woman speaking to a brunette woman with her arms crossed.,A woman is talking to another woman.,A red-haired woman speaking to a red-haired woman with her arms crossed.,entailment,contradiction,Brown-haired woman talking to man with backpack. A woman is talking to a man
8,Students are inside of a lecture hall.,Students are indoors.,Students are inside of a building.,entailment,neutral,two women in lab coats looking on a image projected on the wall. Some women are in a lab setting.
9,Students are inside of a lecture hall.,Students are indoors.,Alien students are inside of a lecture hall.,entailment,contradiction,two women in lab coats looking on a image projected on the wall. Some women are in a lab setting.
10,A woman in a red polka-dot dress sings into a mic.,A woman is wearing a dress.,A woman in a red polka-dot dress talks into a mic.,entailment,neutral,A woman in a red and white jacket riding a bicycle. a woman rides a bike
11,A woman in a red polka-dot dress sings into a mic.,A woman is wearing a dress.,A woman in a red polka-dot dress talks to a wall.,entailment,contradiction,A woman in a red and white jacket riding a bicycle. a woman rides a bike
12,Men playing a game in the park.,some men play for money,Some gamblers bet for money in a casino.,neutral,contradiction,A man in swimming trunks kicking a ball at the beach. A man wearing swimming trunks kicks a ball around with his son at the beach.
13,Men playing a game in the park.,some men play for money,Men playing the game in the park where they play.,neutral,entailment,A man in swimming trunks kicking a ball at the beach. A man wearing swimming trunks kicks a ball around with his son at the beach.
14,Three children are playing together in some water.,Three children are playing in water.,Three children are playing in water.,entailment,neutral,Children standing and climbing near a fountain. Kids standing and climbing.
15,Three children are playing together in some water.,Three children are playing in water.,Adults are playing in dirt.,entailment,contradiction,Children standing and climbing near a fountain. Kids standing and climbing.
16,A woman and a young child are making sculptures out of clay.,A man and woman painting on canvas.,A woman and a child creating sculptures.,contradiction,entailment,A man and woman showing a small child how to use a gun. Parents teaching their child the alphabet with crayons
17,A woman and a young child are making sculptures out of clay.,A man and woman painting on canvas.,A person and child making sculptures out of clay.,contradiction,neutral,A man and woman showing a small child how to use a gun. Parents teaching their child the alphabet with crayons
18,A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.,A man is walking down the trail.,A man wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.,contradiction,neutral,A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head. A man reads the paper.
19,A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.,A man is walking down the trail.,A man wearing a shirt is carrying something in a bag while walking on the trail.,contradiction,entailment,A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head. A man reads the paper.
20,A football player wearing a number ten jersey is catching a football with both hands.,A huge player,A football player wearing any jersey is catching a football with one hand.,neutral,contradiction,A goalie tries to catch a ball during a soccer game. a goalie is trying to catch the game tying ball.
21,A football player wearing a number ten jersey is catching a football with both hands.,A huge player,A skilled player is catching a football with both hands to be a tall player during a football game.,neutral,entailment,A goalie tries to catch a ball during a soccer game. a goalie is trying to catch the game tying ball.
22,"The back of a woman wearing blue jeans, black boots, and a blue and black shirt.",Someone in sandals walks away.,"The back of a person wearing clothes, shoes walks away.",contradiction,entailment,"Two women both in sandals, one in a green hat is tying the other woman's dress strap. Two men are getting dressed."
