sentence1	sentence2	gold_label
A man is riding a red motorcycle with a small child sitting in front of him.	A man rides his red motorcycle with his small child sitting in front of him.	entailment
A man is riding a red motorcycle with a small child sitting in front of him.	The man rides a bicycle with a stranger.	contradiction
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.	The woman is observing the man with two swords.	entailment
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.	The man is fighting.	contradiction
A woman wearing a green shirt stands on the railroad tracks.	The woman stands on the railroad tracks.	entailment
A woman wearing a green shirt stands on the railroad tracks.	A person stands on a green shirt.	contradiction
A blond woman speaking to a brunette woman with her arms crossed.	The woman is interacting with another person.	neutral
A blond woman speaking to a brunette woman with her arms crossed.	A woman is not talking to the same woman.	contradiction
Students are inside of a lecture hall.	People are inside a building.	neutral
Students are inside of a lecture hall.	Students are outdoors.	contradiction
A woman in a red polka-dot dress sings into a mic.	The woman is dressed.	neutral
A woman in a red polka-dot dress sings into a mic.	A woman is not wearing a dress.	contradiction
Men playing a game in the park.	No men play for money.	contradiction
Men playing a game in the park.	Men playing a game.	entailment
Three children are playing together in some water.	Children are playing.	neutral
Three children are playing together in some water.	Three children are drowning in water.	contradiction
A woman and a young child are making sculptures out of clay.	A woman and a young child are painting on canvas.	entailment
A woman and a young child are making sculptures out of clay.	The woman is working with clay.	neutral
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.	The man is approaching the tent.	neutral
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.	A man is sitting on sand.	entailment
A football player wearing a number ten jersey is catching a football with both hands.	A short player	contradiction
A football player wearing a number ten jersey is catching a football with both hands.	A tall and muscular player.	entailment
The back of a woman wearing blue jeans, black boots, and a blue and black shirt.	Someone walks away.	entailment
The back of a woman wearing blue jeans, black boots, and a blue and black shirt.	A person moves.	neutral
Some kids wearing white and red are playing soccer.	Kids playing soccer are wearing white and	entailment
Some kids wearing white and red are playing soccer.	Adults are wearing business suits.	contradiction
A young lady is dressed in a blue top with black leotards and is in a dance pose.	The young lady is in a dance pose.	entailment
A young lady is dressed in a blue top with black leotards and is in a dance pose.	She is resting.	neutral
Three people trudge through the snow wearing snowshoes and using walking sticks.	People trudge through the snow wearing snowshoes and using walking sticks.	entailment
Three people trudge through the snow wearing snowshoes and using walking sticks.	Three people on a leisurely stroll, enjoying a picnic.	contradiction
Recked ambulance being towed by a large tow truck.	The ambulance was towed.	entailment
Recked ambulance being towed by a large tow truck.	A vehicle was being transported.	neutral
A man in a blue shirt is building a sand castle at the beach.	A man in a blue shirt is not building a sand castle at the beach.	contradiction
