sentence1	sentence2	gold_label
A man is riding a red motorcycle with his own child sitting in front of him.	A man rides his motorcyle with his won.	entailment
A man is pushing a blue bicycle with an adult woman sitting in front of him.	A man rides his motorcyle with his won.	contradiction
In a martial arts demonstration a man with two swords is watched by a woman with a Chinese spear.	The woman is watching.	entailment
In a martial arts demonstration a man with two swords avoids a woman with a Chinese spear.	The woman is watching.	contradiction
A woman wearing a green shirt is standing on the train tracks.	A railroad employee stands on the train tracks.	entailment
A woman wearing a green shirt stands on the train.	A railroad employee stands on the train tracks.	contradiction
A woman is speaking to another woman.	A woman is talking to another woman.	neutral
A bald woman speaking to a blond woman with her arms crossed.	A woman is talking to another woman.	contradiction
Students are inside of a building.	Students are indoors.	neutral
Students are outside of a lecture hall.	Students are indoors.	contradiction
A woman sings into a mic.	A woman is wearing a dress.	neutral
A woman in a plain black t-shirt sings into a mic.	A woman is wearing a dress.	contradiction
Men working in the park.	some men play for money	contradiction
Men playing a game for money in the park.	some men play for money	entailment
Three children are playing in some water.	Three children are playing in water.	neutral
Three children are fighting together in some fire.	Three children are playing in water.	contradiction
A woman and a young child are painting on canvas.	A man and woman painting on canvas.	entailment
A woman and a young child are creating art using materials.	A man and woman painting on canvas.	neutral
A man wearing a shirt is holding a can while standing near a orange and red tent.	A man is walking down the trail.	neutral
A man wearing a backpack is pouring something out a can while sitting on sand in front of a orange and red tent.	A man is walking down the trail.	entailment
A football player wearing a number ten jersey is dropping a football with both hands.	A huge player	contradiction
The back of a woman wearing blue jeans, black boots, and a blue and black shirt walks away.	Someone in sandals walks away.	entailment
The back of a woman has on blue jeans, black boots, and a	Someone in sandals walks away.	neutral
Some kids wearing white and red are wearing their soccer uniform.	Children are wearing their soccer uniform	entailment
Some kids not wearing white and red are playing soccer.	Children are wearing their soccer uniform	contradiction
A young lady is wearing a dance costume and performing a dance routine.	The young lady is taking a break from exercising	entailment
A young lady is wearing a blue top and black leotards and is in a dance pose.	The young lady is taking a break from exercising	neutral
Three people struggle through harsh terrain wearing survival gear and using walking sticks.	Three crash survivors trying to reach civilization	entailment
Three people sprint through the snow wearing roller skates and using parachutes.	Three crash survivors trying to reach civilization	contradiction
Recked firetruck being towed by a large tow truck.	The firetruck was towed.	entailment
Old truck being towed by a large tow truck.	The firetruck was towed.	neutral
A man in a blue shirt is destroying a sand castle at the beach.	A man in a blue shirt is building a sand castle at the beach	contradiction
A man in a blue shirt is playing with sand at the beach.	A man in a blue shirt is building a sand castle at the beach	neutral
An older man and woman standing on a cement bench with smiling faces.	The man and woman are arguing about money	contradiction
An older man and woman sitting on a cement bench arguing.	The man and woman are arguing about money	entailment
Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a rodeo arena background.	Two rodeo clowns riding old sad-looking ponies	entailment
Two horse riding jockeys, one in checkered blue and red and the other in orange and brown, are riding against a clear background.	Two rodeo clowns riding old sad-looking ponies	neutral
Several men in black tops are playing instruments.	People are playing music.	neutral
Several woman in white dresses play the guitar.	People are playing music.	contradiction
A group of young adults come together to perform a concert complete with drums and a guitar.	A band is on stage performing.	entailment
A group of senior citizens come together to listen to a lecture complete with books and a piano.	A band is on stage performing.	contradiction
A person wearing a white helmet races in their car.	A person wearing a black helmet races in their car.	entailment
A person wearing a helmet races in their car.	A person wearing a black helmet races in their car.	neutral
Two dogs play in a sandy area.	Two dogs are playing outside.	neutral
Two cats grapple each other in a sandy area.	Two dogs are playing outside.	contradiction
A woman in a red hat sits on a bench with a bush in the background.	A woman stands on a trash can.	neutral
A woman in a red hat stands on a winding	A woman stands on a trash can.	entailment
A woman swimming enters a natural pool.	A man jumps in the river.	neutral
A nude woman submerges herself in a natural pool near a river, while a man jumps into the same river.	A man jumps in the river.	entailment
A person dressed in a blue coat is standing in on a busy sidewalk, buying a painting of a street scene.	A person is buying a painting of a street scene	entailment
A person dressed in a blue coat is standing in on a busy sidewalk, selling a street scene.	A person is buying a painting of a street scene	contradiction
A man with a visor and blue top has caught a book off into the distance.	A man is throwing a frisbee.	contradiction
A man with a visor and blue top is holding a disc.	A man is throwing a frisbee.	neutral
A musician records some music.	A woman is playing the piano.	neutral
A musician holding a guitar is videotaping a woman playing the piano.	A woman is playing the piano.	entailment
Children are in an amusement park.	Kids are on amusement park rides	neutral
Children fear a balloon in a library.	Kids are on amusement park rides	contradiction
A young girl wearing pink sandals is walking on hopscotch numbers.	A young girl wears sandals and walks on hopscotch numbers.	entailment
An elderly person wearing no shoes is sitting on a book.	A young girl wears sandals and walks on hopscotch numbers.	contradiction
The wolf moves slowly over the snow.	The wolf is old.	entailment
A wolf is buried under the snow.	The wolf is old.	contradiction
A woman in a pink turtleneck uses her camera at dinner.	The camera is broke.	neutral
A woman in a pink turtleneck is trying to fix her broken camera at dinner.	The camera is broke.	entailment
A soccer player in green is on the field.	The player in green is plaing a sport.	neutral
A musician in green sits still.	The player in green is plaing a sport.	contradiction
A man holding the Texas flag is lying on his bed in a city street.	The man is laying on his bed.	entailment
A man holding the Texas flag is standing on a city street.	The man is laying on his bed.	neutral
People sitting in a parade.	Some people are performing in a parade.	contradiction
People in a parade.	Some people are performing in a parade.	neutral
A young couple is dancing, the man is wearing a t-shirt with the sleeves rolled up and the woman is wearing jeans.	A well-dressed couple is dancing together.	contradiction
A couple is moving together, the man is wearing a shirt with sleeves and the woman is wearing a dress.	A well-dressed couple is dancing together.	neutral
Man playing the bass.	A man with a mustache is playing the piano.	neutral
Bearded man playing a musical instrument.	A man with a mustache is playing the piano.	entailment
A person wearing dark clothes is clearing a path from the stairs.	The woman shoveled a path on her sidewalk.	neutral
A person dressed in black shoveling a path on her sidewalk from the stairs.	The woman shoveled a path on her sidewalk.	entailment
A large painting machine creating a canvas with a man painting it closely with what looks like a paintbrush.	A worker is observing large construction equipment in motion.	contradiction
A large earth moving machine is moving with a person nearby.	A worker is observing large construction equipment in motion.	neutral
Two men during a cooking competition	Two men are at a football game.	contradiction
Two men at a football game.	Two men are at a football game.	neutral
People stand outdoors.	Two men stand outdoors.	neutral
Two women not wearing jackets sit on a bench in a park.	Two men stand outdoors.	contradiction
A group of kids wearing blue, youngsters, and senior citizens sing on a platform.	A children's choir sings.	neutral
An orchestra consisting of adults dressed in orange, older members in white, and younger members in black, is resting on the ground floor.	A children's choir sings.	contradiction
A lady with kind eyes and long brown hair is standing near a tree.	a tree is near an ax	neutral
A lady with kind eyes and long brown hair is holding a book by an ocean.	a tree is near an ax	contradiction
A guitarist stands in front of foggy lighting.	A guitarist stands in front of foggy lighting	neutral
Elderly classical pianist, wearing a formal black tuxedo with a bow tie, is in front of bright sunlight.	A guitarist stands in front of foggy lighting	contradiction
The young man, who is part of a crowd watching a black man in a red shirt, is using the roller skates his grandfather gave him.	A young man is using the roller skates his grandfather gave him.	entailment
An elderly woman, using a walking cane, part of an empty street, watches	A young man is using the roller skates his grandfather gave him.	contradiction
Three people are at a carnival game.	People are at a carnival.	neutral
Three people are sitting at a carnival game.	People are at a carnival.	contradiction
A person is riding off of a wooden bench.	a person riding a bike	neutral
A person rides a bike off of a wooden bench.	a person riding a bike	entailment
A blue delivery truck is parked in front of a white building on a street corner, while a person sleeps on a bench nearby.	A person is sleeping.	entailment
