sentence1	sentence2	gold_label
A man is riding a red motorcycle with a small child sitting in front of him.	A man rides his motorcyle with his motorbike.	entailment
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.	The woman is watching.	entailment
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.	The woman is watching a dragon.	contradiction
A woman wearing a green shirt stands on the railroad tracks.	woman wearing a green shirt stands stands on the railroad tracks.	contradiction
A blond woman speaking to a brunette woman with her arms crossed.	A brunette woman is talking to another woman.	contradiction
Students are inside of a lecture hall.	Students are outside.	neutral
Students are inside of a lecture hall.	Students are indoors.	contradiction
A woman in a red polka-dot dress sings into a mic.	is wearing a red polka-dot dress sings into a mic. A woman is wearing a dress.	contradiction
Three children are playing together in some water.	Children standing and climbing near a fountain.	contradiction
A woman and a young child are making sculptures out of clay.	A woman and a young child are making sculptures out of clay.	entailment
A woman and a young child are making sculptures out of clay.	''	neutral
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.	A man is walking through sand while sitting on the edge.	entailment
A football player wearing a number ten jersey is catching a football with both hands.	A huge player not catching a football with hand.	contradiction
The back of a woman wearing blue jeans, black boots, and a blue and black shirt.	The  The back of The  The	entailment
The back of a woman wearing blue jeans, black boots, and a blue and black shirt.	Two girls.	neutral
Some kids wearing white and red are playing soccer.	Adults are wearing their soccer uniform.	entailment
A young lady is dressed in a blue top with black leotards and is in a dance pose.	The young lady is taking a break from exercising.	entailment
Three people trudge through the snow wearing snowshoes and using walking sticks.	Three people using walking sticks wearing snowshoes. Three crash survivors trying to reach their civilization.	entailment
An older man and woman sitting on a cement bench with frowns on their faces.	 and that are making out.	entailment
Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.	Two rodeo clowns running old sad-looking ponies	neutral
Several man in black tops play the guitar.	sentence2	neutral
Several man in black tops play the guitar.	black tops player the guitar. is People are playing music. 	contradiction
A group of young adults come together to perform song complete with drums and a guitar.	People are using instruments.	contradiction
A woman in a red hat sits on a winding purple and bright green bench with a bush in the background.	A woman sits on the bench as a woman sits.	entailment
A nude woman submerges herself in a natural pool.	A woman jumps in the river.	neutral
A nude woman submerges herself in a natural pool.	A man submerges himself in a natural pool.	entailment
A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.	is not buying, and a painting of a street scene.	entailment
A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.	The person is studying painting of a street scene, studying painting of a street scene	contradiction
A man with a visor and blue top has thrown a Frisbee off into the distance.	A little girl is throwing a frisbee.	contradiction
A man with a visor and blue top has thrown a Frisbee off into the distance.	A man is throwing a blue frisbee.	neutral
A musician holding a guitar videotapes some action.	A musician holding a guitar videotapes some action. A woman is singing the piano.	neutral
A musician holding a guitar videotapes some action.	A man is playing the cello.	entailment
Children ride a balloon ride in an amusement park.	Thin kids standing and climbing.	contradiction
A young toddler wearing pink sandals is walking on hopscotch numbers.	A toy dog wears sandals and walks on hopscotch numbers.	contradiction
A wolf moves over the snow.	The wolf are young.	entailment
A wolf moves over the snow.	The wolf is old.	contradiction
A woman in a pink turtleneck adjusts her camera's settings at dinner.	The camera needs to be fixed.	entailment
A soccer player in green runs down the field.	The player in green is not playing a sport.	neutral
