sentence1	sentence2	gold_label
A man with two swords faces a woman with a Chinese spear while she watches him in a martial arts demonstration.	The woman is watching.	entailment
In a martial arts demonstration a man with two swords faces a woman with a rubber chicken.	The woman is watching.	contradiction
A railroad woman wearing a green shirt stands on a railroad track.	A railroad employee stands on the train tracks.	entailment
A man in a blue t-shirt cannot sing into a hat.	A woman is wearing a dress.	contradiction
A man wearing a jacket is pouring something out a can while sitting on sand in front of a orange and red tent.	A man is walking down the trail.	neutral
Two dogs play in a sandy area.	Two dogs are playing outside.	neutral
A woman immerses herself in a natural pool.	A man jumps in the river.	neutral
A person dressed in a blue coat is sitting in a park, studying a painting of a street scene.	A person is buying a painting of a street scene	contradiction
A person is throwing a frisbee.	A man is throwing a frisbee.	neutral
A woman in a pink turtleneck adjusts her camera's settings before dinner.	The camera is broke.	entailment
A person in green moves down the area.	The player in green is plaing a sport.	neutral
A couple is dancing together.	A well-dressed couple is dancing together.	neutral
A guitarist stands in front of foggy lighting.	A guitarist stands in front of foggy lighting	neutral
A man passes through a path.	A man walks through the pathway	neutral
A guy is practicing his kicks on equipment in the gym.	There is no punching bag in the gym.	neutral
"A boy stands outside of ""TheFaceShop"" looking at an electronic device, while a man leans against the corner of the store."	A boy is window shopping.	neutral
Two sad women in a whirlpool with towels on the heads crying.	Two sad women in a whirlpool with towels on the heads laughing.	contradiction
Vending is not near a large building.	Vending near large building.	contradiction
A man holding something.	A man is holding his wife.	neutral
A woman in a white tank top brushes her hair from her eyes as she speaks with a person wearing clothing.	Two people are having a conversation.	neutral
People are walking down a cement flat with an open field behind them.	People are outdoors.	contradiction
People shopping in an indoor market. People buying produce in an indoor store.	People buying produce in an outdoor market	contradiction
A person standing next to a car in the street speaking to the driver.	A male watching football on TV.	neutral
Three people are watching a film.	Humans watching a movie.	neutral
People walk down a wide alley.	The people are walking through a desert.	entailment
A girl plays with her two brothers.	A girls plays with her two brothers.	entailment
No men isolate under no tent.	A bunch of guys are having a party.	contradiction
[Insert the edited sentence1 here].	A man in a wheelchair plays basketball.	entailment
A woman in a pink shirt chasing dogs in a ring.	A man is hearding goats	contradiction
A boy wearing a blue swimsuit begins to slide down a water slide. The boy's swimsuit is blue.	The boy's swimsuit is red.	entailment
A woman in purple rides a brown horse.	The woman rides horses.	neutral
The woman rides stationary horses.	The woman rides horses.	contradiction
A man wearing blue jeans is sitting in front of a bank.	A man is cashing his paycheck at a bank.	neutral
A boy wearing shorts, crocs, and a white shirt plays with a yo-yo while another boy looks at his phone in the background. He is sad.	He is happy	contradiction
2 people wearing sunglasses are sitting at an ASUS laptop.	The people are near the laptop.	neutral
A guy sitting on a stool in a light tan shirt and darker tan shorts with glasses around his neck working on a project, but he is not using a computer.	The man is working on a laptop computer.	contradiction
"Three older men in a living room, decorated for Christmas, a ""Dell"" notebook is the center of attention."	Three women are in the room.	contradiction
A person is sitting on a park bench, holding a beverage glass.	The girl is wearing a red jacket	neutral
A girl wearing a red jack	The girl is wearing a red jacket	entailment
A woman in a trench coat walks in high heels.	A woman in a black coat walks in high heels	contradiction
People hating indoor food in an indoor location.	Many people are eating outside.	contradiction
The big black dog is decorated with a red ball of yarn.	The cow is covered in tangled yarn.	contradiction
People in casual attire walk down a street.	People in casual attire walk along a street	entailment
People in various attire walk.	People in casual attire walk along a street	neutral
A woman in a dress is holding a plastic cup while gesturing with the other hand. The dress is multicolored	The dress is a single color	neutral
A bicycle is parked in front of a shop that has a large orange sign. A bike is chained to the bike rack outside of the shop.	A bike is chained to the bike rack outside of the shop.	contradiction
Army men march down a road in uniform for a parade.	Army men march down a road in uniform for a parade.	entailment
A dirty boat is on murky water as workers tend to their jobs.	A boat in sitting in murky water	neutral
One African American man is looking at something under a microscope and there is a poster that says blood cells hanging on the wall.	The man is looking at a person.	entailment
A man in a plaid suit and clown makeup plays guitar, while a man in a brown shirt head bangs and a woman plays bass in the background, preparing for their live performance later that evening.	The three musicians are preparing for a live performance later that evening.	entailment
