Unnamed: 0,original_sentence1,original_sentence2,contrast text,original label,contrast label,closest_instance
0,A man is riding a red motorcycle with a small child sitting in front of him.,A man rides his motorcyle with his won.,A man is riding a red motorcycle with his own child sitting in front of him.,neutral,entailment,A man in a blue jacket riding a bike. A man is on his yellow bike.
1,A man is riding a red motorcycle with a small child sitting in front of him.,A man rides his motorcyle with his won.,A man is pushing a blue bicycle with an adult woman sitting in front of him.,neutral,contradiction,A man in a blue jacket riding a bike. A man is on his yellow bike.
2,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The woman is watching.,In a martial arts demonstration a man with two swords is watched by a woman with a Chinese spear.,neutral,entailment,A woman in orange performs with puppets while a little boy in a monkey costume walks by. The puppeteer has her hand in a sock.
3,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The woman is watching.,In a martial arts demonstration a man with two swords avoids a woman with a Chinese spear.,neutral,contradiction,A woman in orange performs with puppets while a little boy in a monkey costume walks by. The puppeteer has her hand in a sock.
4,A woman wearing a green shirt stands on the railroad tracks.,A railroad employee stands on the train tracks.,A woman wearing a green shirt is standing on the train tracks.,neutral,entailment,"A girl in a green knit cap stands ready to push a sled, with a little boy behind her. A sad girl in a green knit cap stands ready to push a sled, with a little boy behind her."
5,A woman wearing a green shirt stands on the railroad tracks.,A railroad employee stands on the train tracks.,A woman wearing a green shirt stands on the train.,neutral,contradiction,"A girl in a green knit cap stands ready to push a sled, with a little boy behind her. A sad girl in a green knit cap stands ready to push a sled, with a little boy behind her."
6,A blond woman speaking to a brunette woman with her arms crossed.,A woman is talking to another woman.,A woman is speaking to another woman.,entailment,neutral,Brown-haired woman talking to man with backpack. A woman is talking to a man
7,A blond woman speaking to a brunette woman with her arms crossed.,A woman is talking to another woman.,A bald woman speaking to a blond woman with her arms crossed.,entailment,contradiction,Brown-haired woman talking to man with backpack. A woman is talking to a man
8,Students are inside of a lecture hall.,Students are indoors.,Students are inside of a building.,entailment,neutral,two women in lab coats looking on a image projected on the wall. Some women are in a lab setting.
9,Students are inside of a lecture hall.,Students are indoors.,Students are outside of a lecture hall.,entailment,contradiction,two women in lab coats looking on a image projected on the wall. Some women are in a lab setting.
10,A woman in a red polka-dot dress sings into a mic.,A woman is wearing a dress.,A woman sings into a mic.,entailment,neutral,A woman in a red and white jacket riding a bicycle. a woman rides a bike
11,A woman in a red polka-dot dress sings into a mic.,A woman is wearing a dress.,A woman in a plain black t-shirt sings into a mic.,entailment,contradiction,A woman in a red and white jacket riding a bicycle. a woman rides a bike
12,Men playing a game in the park.,some men play for money,Men working in the park.,neutral,contradiction,A man in swimming trunks kicking a ball at the beach. A man wearing swimming trunks kicks a ball around with his son at the beach.
13,Men playing a game in the park.,some men play for money,Men playing a game for money in the park.,neutral,entailment,A man in swimming trunks kicking a ball at the beach. A man wearing swimming trunks kicks a ball around with his son at the beach.
14,Three children are playing together in some water.,Three children are playing in water.,Three children are playing in some water.,entailment,neutral,Children standing and climbing near a fountain. Kids standing and climbing.
15,Three children are playing together in some water.,Three children are playing in water.,Three children are fighting together in some fire.,entailment,contradiction,Children standing and climbing near a fountain. Kids standing and climbing.
16,A woman and a young child are making sculptures out of clay.,A man and woman painting on canvas.,A woman and a young child are painting on canvas.,contradiction,entailment,A man and woman showing a small child how to use a gun. Parents teaching their child the alphabet with crayons
17,A woman and a young child are making sculptures out of clay.,A man and woman painting on canvas.,A woman and a young child are creating art using materials.,contradiction,neutral,A man and woman showing a small child how to use a gun. Parents teaching their child the alphabet with crayons
18,A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.,A man is walking down the trail.,A man wearing a shirt is holding a can while standing near a orange and red tent.,contradiction,neutral,A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head. A man reads the paper.
19,A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.,A man is walking down the trail.,A man wearing a backpack is pouring something out a can while sitting on sand in front of a orange and red tent.,contradiction,entailment,A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head. A man reads the paper.
20,A football player wearing a number ten jersey is catching a football with both hands.,A huge player,A football player wearing a number ten jersey is dropping a football with both hands.,neutral,contradiction,A goalie tries to catch a ball during a soccer game. a goalie is trying to catch the game tying ball.
21,A football player wearing a number ten jersey is catching a football with both hands.,A huge player,,neutral,entailment,A goalie tries to catch a ball during a soccer game. a goalie is trying to catch the game tying ball.
22,"The back of a woman wearing blue jeans, black boots, and a blue and black shirt.",Someone in sandals walks away.,"The back of a woman wearing blue jeans, black boots, and a blue and black shirt walks away.",contradiction,entailment,"Two women both in sandals, one in a green hat is tying the other woman's dress strap. Two men are getting dressed."
23,"The back of a woman wearing blue jeans, black boots, and a blue and black shirt.",Someone in sandals walks away.,"The back of a woman has on blue jeans, black boots, and a",contradiction,neutral,"Two women both in sandals, one in a green hat is tying the other woman's dress strap. Two men are getting dressed."
24,Some kids wearing white and red are playing soccer.,Children are wearing their soccer uniform,Some kids wearing white and red are wearing their soccer uniform.,neutral,entailment,The little boy in jean shorts kicks the soccer ball. A little boy is playing soccer outside.
25,Some kids wearing white and red are playing soccer.,Children are wearing their soccer uniform,Some kids not wearing white and red are playing soccer.,neutral,contradiction,The little boy in jean shorts kicks the soccer ball. A little boy is playing soccer outside.
26,A young lady is dressed in a blue top with black leotards and is in a dance pose.,The young lady is taking a break from exercising,A young lady is wearing a dance costume and performing a dance routine.,contradiction,entailment,A woman in a blue dress is leaning on a wall with graffiti painted on it. The woman is in a field.
27,A young lady is dressed in a blue top with black leotards and is in a dance pose.,The young lady is taking a break from exercising,A young lady is wearing a blue top and black leotards and is in a dance pose.,contradiction,neutral,A woman in a blue dress is leaning on a wall with graffiti painted on it. The woman is in a field.
28,Three people trudge through the snow wearing snowshoes and using walking sticks.,Three crash survivors trying to reach civilization,Three people struggle through harsh terrain wearing survival gear and using walking sticks.,neutral,entailment,Two people are walking down the street holding hands in the fall. A couple is looking for a house.
29,Three people trudge through the snow wearing snowshoes and using walking sticks.,Three crash survivors trying to reach civilization,Three people sprint through the snow wearing roller skates and using parachutes.,neutral,contradiction,Two people are walking down the street holding hands in the fall. A couple is looking for a house.
30,Recked ambulance being towed by a large tow truck.,The firetruck was towed.,Recked firetruck being towed by a large tow truck.,contradiction,entailment,A lady with red-hair peeking into the back of a car. A lady is looking at a fire truck.
31,Recked ambulance being towed by a large tow truck.,The firetruck was towed.,Old truck being towed by a large tow truck.,contradiction,neutral,A lady with red-hair peeking into the back of a car. A lady is looking at a fire truck.
32,A man in a blue shirt is building a sand castle at the beach.,A man in a blue shirt is building a sand castle at the beach,A man in a blue shirt is destroying a sand castle at the beach.,entailment,contradiction,"A man at the beach, building a sand castle. The sand castle down on the beach was made by that man."
33,A man in a blue shirt is building a sand castle at the beach.,A man in a blue shirt is building a sand castle at the beach,A man in a blue shirt is playing with sand at the beach.,entailment,neutral,"A man at the beach, building a sand castle. The sand castle down on the beach was made by that man."
34,An older man and woman sitting on a cement bench with frowns on their faces.,The man and woman are arguing about money,An older man and woman standing on a cement bench with smiling faces.,neutral,contradiction,An elderly man sleeping in a outdoor chair while another woman sits next to him. A man and his wife are relaxing outside.
35,An older man and woman sitting on a cement bench with frowns on their faces.,The man and woman are arguing about money,An older man and woman sitting on a cement bench arguing.,neutral,entailment,An elderly man sleeping in a outdoor chair while another woman sits next to him. A man and his wife are relaxing outside.
36,"Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.",Two rodeo clowns riding old sad-looking ponies,"Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a rodeo arena background.",contradiction,entailment,A horse and rider on a steeplechase course. Three horses are playing in a field together.
37,"Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.",Two rodeo clowns riding old sad-looking ponies,"Two horse riding jockeys, one in checkered blue and red and the other in orange and brown, are riding against a clear background.",contradiction,neutral,A horse and rider on a steeplechase course. Three horses are playing in a field together.
38,Several man in black tops play the guitar.,People are playing music.,Several men in black tops are playing instruments.,entailment,neutral,A group of people play a game in the road. people playing a game
39,Several man in black tops play the guitar.,People are playing music.,Several woman in white dresses play the guitar.,entailment,contradiction,A group of people play a game in the road. people playing a game
40,A group of young adults come together to perform song complete with drums and a guitar.,A band is on stage performing.,A group of young adults come together to perform a concert complete with drums and a guitar.,neutral,entailment,A group of young people with instruments are on stage. People are performing as a band for a crowd.
