original_sentence1,original_sentence2,contrast text,original label,contrast label,closest_instance
A man is riding a red motorcycle with a small child sitting in front of him.,A man rides his motorcyle with his won.,A man riding a red motorcycle with a small child sitting in front of him,neutral,entailment,A man in a blue jacket riding a bike. A man is on his yellow bike.
A man is riding a red motorcycle with a small child sitting in front of him.,A man rides his motorcyle with his won.,A man is riding a red motorcycle with a small child sitting in front of him. A man rides his motorcycle with small children hurt behind him.,neutral,contradiction,A man in a blue jacket riding a bike. A man is on his yellow bike.
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The woman is watching.,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear. The woman is watching at the woman with the spear.,neutral,entailment,A woman in orange performs with puppets while a little boy in a monkey costume walks by. The puppeteer has her hand in a sock.
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The woman is watching.,In a martial arts demonstration a woman with two swords faces a woman with a Chinese spear.,neutral,contradiction,A woman in orange performs with puppets while a little boy in a monkey costume walks by. The puppeteer has her hand in a sock.
A woman wearing a green shirt stands on the railroad tracks.,A railroad employee stands on the train tracks.,A railroad employee stands on the train tracks.,neutral,entailment,"A girl in a green knit cap stands ready to push a sled, with a little boy behind her. A sad girl in a green knit cap stands ready to push a sled, with a little boy behind her."
A woman wearing a green shirt stands on the railroad tracks.,A railroad employee stands on the train tracks.,A railroad employee wearing a green shirt stands on the railroad tracks.,neutral,contradiction,"A girl in a green knit cap stands ready to push a sled, with a little boy behind her. A sad girl in a green knit cap stands ready to push a sled, with a little boy behind her."
A blond woman speaking to a brunette woman with her arms crossed.,A woman is talking to another woman.,A blond man speaking to a Brunette woman with her arm crossed.,entailment,neutral,Brown-haired woman talking to man with backpack. A woman is talking to a man
A blond woman speaking to a brunette woman with her arms crossed.,A woman is talking to another woman.,,entailment,contradiction,Brown-haired woman talking to man with backpack. A woman is talking to a man
Students are inside of a lecture hall.,Students are indoors.,Students are inside of Students,entailment,neutral,two women in lab coats looking on a image projected on the wall. Some women are in a lab setting.
Students are inside of a lecture hall.,Students are indoors.,,entailment,contradiction,two women in lab coats looking on a image projected on the wall. Some women are in a lab setting.
A woman in a red polka-dot dress sings into a mic.,A woman is wearing a dress.,"A woman in a red polka-dot dress wearing, blue shirt., A woman is wearing a dress.",entailment,neutral,A woman in a red and white jacket riding a bicycle. a woman rides a bike
A woman in a red polka-dot dress sings into a mic.,A woman is wearing a dress.,A woman in a red polka-dot dress swims into a mic.,entailment,contradiction,A woman in a red and white jacket riding a bicycle. a woman rides a bike
Men playing a game in the park.,some men play for money,,neutral,contradiction,A man in swimming trunks kicking a ball at the beach. A man wearing swimming trunks kicks a ball around with his son at the beach.
Men playing a game in the park.,some men play for money,Men playing a game in the park.,neutral,entailment,A man in swimming trunks kicking a ball at the beach. A man wearing swimming trunks kicks a ball around with his son at the beach.
Three children are playing together in some water.,Three children are playing in water.,,entailment,neutral,Children standing and climbing near a fountain. Kids standing and climbing.
Three children are playing together in some water.,Three children are playing in water.,,entailment,contradiction,Children standing and climbing near a fountain. Kids standing and climbing.
A woman and a young child are making sculptures out of clay.,A man and woman painting on canvas.,A woman and a child are painting on canvas.,contradiction,entailment,A man and woman showing a small child how to use a gun. Parents teaching their child the alphabet with crayons
A woman and a young child are making sculptures out of clay.,A man and woman painting on canvas.,A woman and young child are making sculptures clay out of clay. A man and woman making sculptures on canvas.,contradiction,neutral,A man and woman showing a small child how to use a gun. Parents teaching their child the alphabet with crayons
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.,A man is walking down the trail.,,contradiction,neutral,A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head. A man reads the paper.
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.,A man is walking down the trail.,A man not wearing a shirt is pouring something out a can while sitting on a sandy beach in front of a orange and red park.,contradiction,entailment,A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head. A man reads the paper.
A football player wearing a number ten jersey is catching a football with both hands.,A huge player,A football player wearing a number ten jersey is catching a football without both hands. A huge player,neutral,contradiction,A goalie tries to catch a ball during a soccer game. a goalie is trying to catch the game tying ball.
A football player wearing a number ten jersey is catching a football with both hands.,A huge player,A football player wearing a number ten jersey is playing for a team that is trying to win a game and is catching a football with both hands.,neutral,entailment,A goalie tries to catch a ball during a soccer game. a goalie is trying to catch the game tying ball.
"The back of a woman wearing blue jeans, black boots, and a blue and black shirt.",Someone in sandals walks away.,,contradiction,entailment,"Two women both in sandals, one in a green hat is tying the other woman's dress strap. Two men are getting dressed."
"The back of a woman wearing blue jeans, black boots, and a blue and black shirt.",Someone in sandals walks away.,"The back of a woman wearing blue jeans, wearing [black] sneakers, and a blue and black shirt. Someone in sandals walks away.",contradiction,neutral,"Two women both in sandals, one in a green hat is tying the other woman's dress strap. Two men are getting dressed."
Some kids wearing white and red are playing soccer.,Children are wearing their soccer uniform,Some children wearing white and red are playing soccer.,neutral,entailment,The little boy in jean shorts kicks the soccer ball. A little boy is playing soccer outside.
Some kids wearing white and red are playing soccer.,Children are wearing their soccer uniform,,neutral,contradiction,The little boy in jean shorts kicks the soccer ball. A little boy is playing soccer outside.
A young lady is dressed in a blue top with black leotards and is in a dance pose.,The young lady is taking a break from exercising,A young lady is dressed in a blue top with black leotards and is in a dance pose.,contradiction,entailment,A woman in a blue dress is leaning on a wall with graffiti painted on it. The woman is in a field.
