data origin,task name,training split,#training instances,test split,#test instances,model name,accuracy,macro-f1,precision,recall,test,seed
llms/mistral-20240118,speech,combined,31912,gpt3.5_combined,3800,bert-base-uncased,0.6547368421052632,0.6543568261060428,0.6554203472111702,0.6547368421052631,False,0
llms/mistral-20240118,speech,combined,31912,gpt3.5_orig,1900,bert-base-uncased,0.7221052631578947,0.7003455345749638,0.6962066244137495,0.7104412384358092,False,0
llms/mistral-20240118,speech,combined,31912,gpt3.5_new,1900,bert-base-uncased,0.5873684210526315,0.5696046580703171,0.5751534545811222,0.5838072119035811,False,0
llms/mistral-20240118,speech,combined,31912,gpt4_combined,4586,bert-base-uncased,0.7655909289140863,0.7644512195267619,0.7708326545241275,0.7655909289140863,False,0
llms/mistral-20240118,speech,combined,31912,gpt4_orig,2293,bert-base-uncased,0.6977758395115569,0.6808539354276355,0.6782945248979746,0.6873938416596721,False,0
llms/mistral-20240118,speech,combined,31912,gpt4_new,2293,bert-base-uncased,0.8334060183166158,0.8070834544669678,0.8402799024786359,0.7921824502501537,False,0
llms/mistral-20240118,speech,combined,31912,mistral_combined,4836,bert-base-uncased,0.7723325062034739,0.7721043952043631,0.7734272489123464,0.772332506203474,False,0
llms/mistral-20240118,speech,combined,31912,mistral_new,2418,bert-base-uncased,0.8387096774193549,0.8361880819716213,0.8452110127135231,0.8342598492672102,False,0
llms/mistral-20240118,speech,combined,31912,mistral_orig,2418,bert-base-uncased,0.705955334987593,0.704864539155021,0.7048750004291978,0.7048543209334007,False,0
llms/mistral-20240118,speech,combined,31912,mixtral_56b_orig,2448,bert-base-uncased,0.7071078431372549,0.7061329291023692,0.7061427801236995,0.7061233154487181,False,0
llms/mistral-20240118,speech,combined,31912,mixtral_56b_combined,4896,bert-base-uncased,0.7712418300653595,0.7709721654196839,0.7725253500724287,0.7712418300653595,False,0
llms/mistral-20240118,speech,combined,31912,mixtral_56b_new,2448,bert-base-uncased,0.8353758169934641,0.8327104130198231,0.8428647761535819,0.8308745335758426,False,0
llms/mistral-20240118,speech,combined,31912,counterfactually_orig,3006,bert-base-uncased,0.7042581503659348,0.7041661855724427,0.7045564152937255,0.7042828590463501,False,0
llms/mistral-20240118,speech,combined,31912,counterfactually_new,3006,bert-base-uncased,0.843313373253493,0.843294487505018,0.8434457549175216,0.843300258299561,False,0
llms/mistral-20240118,speech,combined,31912,counterfactually_combined,6012,bert-base-uncased,0.7737857618097139,0.7737394632189925,0.7740100391642595,0.7737857618097139,False,0
llms/mixtral_56b-20240514,speech,combined,43666,gpt3.5_combined,3800,bert-base-uncased,0.661578947368421,0.6605422377204622,0.6635772175327407,0.661578947368421,False,0
llms/mixtral_56b-20240514,speech,combined,43666,gpt3.5_orig,1900,bert-base-uncased,0.728421052631579,0.7015615962984384,0.6983732460120198,0.7062437618935753,False,0
llms/mixtral_56b-20240514,speech,combined,43666,gpt3.5_new,1900,bert-base-uncased,0.5947368421052631,0.5796460176991151,0.5867991571614066,0.5971305021186256,False,0
llms/mixtral_56b-20240514,speech,combined,43666,gpt4_combined,4586,bert-base-uncased,0.780418665503707,0.780098454480552,0.7820615684347945,0.7804186655037069,False,0
llms/mixtral_56b-20240514,speech,combined,43666,gpt4_orig,2293,bert-base-uncased,0.7021369385085041,0.6791300618969676,0.67787619256765,0.6806732338887163,False,0
llms/mixtral_56b-20240514,speech,combined,43666,gpt4_new,2293,bert-base-uncased,0.8587003924989097,0.839723963439049,0.8612878815506364,0.8273766250074353,False,0
llms/mixtral_56b-20240514,speech,combined,43666,mistral_combined,4836,bert-base-uncased,0.7839123242349049,0.7838967911990546,0.78399397575005,0.7839123242349049,False,0
llms/mixtral_56b-20240514,speech,combined,43666,mistral_new,2418,bert-base-uncased,0.8647642679900744,0.8629128832096604,0.8705377191615724,0.860885967128826,False,0
llms/mixtral_56b-20240514,speech,combined,43666,mistral_orig,2418,bert-base-uncased,0.7034739454094293,0.7004987179205904,0.7032024678800969,0.7000079651073366,False,0
llms/mixtral_56b-20240514,speech,combined,43666,mixtral_56b_orig,2448,bert-base-uncased,0.7066993464052288,0.7041328323839535,0.7064482233378495,0.703674337496886,False,0
llms/mixtral_56b-20240514,speech,combined,43666,mixtral_56b_combined,4896,bert-base-uncased,0.7943218954248366,0.7943204453346628,0.7943301958186311,0.7943218954248366,False,0
llms/mixtral_56b-20240514,speech,combined,43666,mixtral_56b_new,2448,bert-base-uncased,0.8819444444444444,0.8807890577042551,0.8854731489140091,0.8791897813933928,False,0
llms/mixtral_56b-20240514,speech,combined,43666,counterfactually_orig,3006,bert-base-uncased,0.6976047904191617,0.6965998738411613,0.7003990335597455,0.6976826080508897,False,0
llms/mixtral_56b-20240514,speech,combined,43666,counterfactually_new,3006,bert-base-uncased,0.8180306054557551,0.8176628452292912,0.8204812342726607,0.8179722931113478,False,0
llms/mixtral_56b-20240514,speech,combined,43666,counterfactually_combined,6012,bert-base-uncased,0.7578176979374585,0.757180393061942,0.7605530908028613,0.7578176979374585,False,0
llms/gpt4-20240318,speech,combined,42336,gpt3.5_combined,3800,bert-base-uncased,0.6555263157894737,0.6553372525191969,0.6558683193788921,0.6555263157894737,False,0
llms/gpt4-20240318,speech,combined,42336,gpt3.5_orig,1900,bert-base-uncased,0.7126315789473684,0.6910657427823024,0.6872697654188669,0.7017591615487782,False,0
llms/gpt4-20240318,speech,combined,42336,gpt3.5_new,1900,bert-base-uncased,0.598421052631579,0.578505863324486,0.5819887955182073,0.5909536114829633,False,0
llms/gpt4-20240318,speech,combined,42336,gpt4_combined,4586,bert-base-uncased,0.7882686436982119,0.7877016539558785,0.7913814383045478,0.7882686436982119,False,0
llms/gpt4-20240318,speech,combined,42336,gpt4_orig,2293,bert-base-uncased,0.6894897514173571,0.6725867598479707,0.6702421846815052,0.6793282861995811,False,0
llms/gpt4-20240318,speech,combined,42336,gpt4_new,2293,bert-base-uncased,0.8870475359790667,0.8731900791858707,0.889877507330179,0.8622890877487492,False,0
llms/gpt4-20240318,speech,combined,42336,mistral_combined,4836,bert-base-uncased,0.7653019023986766,0.7648794032744923,0.7672226415185353,0.7653019023986767,False,0
llms/gpt4-20240318,speech,combined,42336,mistral_new,2418,bert-base-uncased,0.8316790736145575,0.827885095830718,0.8437750247303217,0.8257248247676385,False,0
llms/gpt4-20240318,speech,combined,42336,mistral_orig,2418,bert-base-uncased,0.6989247311827957,0.6976985090867125,0.6977898730001649,0.6976225527894355,False,0
llms/gpt4-20240318,speech,combined,42336,mixtral_56b_orig,2448,bert-base-uncased,0.7001633986928104,0.6991511149360239,0.699170524691358,0.6991326452712023,False,0
llms/gpt4-20240318,speech,combined,42336,mixtral_56b_combined,4896,bert-base-uncased,0.7694035947712419,0.7691477205359601,0.7706033302967499,0.7694035947712419,False,0
llms/gpt4-20240318,speech,combined,42336,mixtral_56b_new,2448,bert-base-uncased,0.8386437908496732,0.8360995572809978,0.845904330777691,0.8342469844824401,False,0
llms/gpt4-20240318,speech,combined,42336,counterfactually_orig,3006,bert-base-uncased,0.6969394544244844,0.6968589056343322,0.6971890721890722,0.6969623794546713,False,0
llms/gpt4-20240318,speech,combined,42336,counterfactually_new,3006,bert-base-uncased,0.850964737192282,0.8509498916231034,0.851074184370468,0.850952963804861,False,0
llms/gpt4-20240318,speech,combined,42336,counterfactually_combined,6012,bert-base-uncased,0.7739520958083832,0.7739130574344615,0.7741414395343416,0.7739520958083832,False,0
llms/gpt3.5-20240313,speech,combined,39684,gpt3.5_combined,3800,bert-base-uncased,0.7371052631578947,0.73667838672818,0.7386528042924325,0.7371052631578947,False,0
llms/gpt3.5-20240313,speech,combined,39684,gpt3.5_orig,1900,bert-base-uncased,0.7152631578947368,0.6903429724965875,0.6866355658285415,0.6975138310394503,False,0
llms/gpt3.5-20240313,speech,combined,39684,gpt3.5_new,1900,bert-base-uncased,0.7589473684210526,0.7220816981440601,0.7298009248094837,0.7167554761718318,False,0
llms/gpt3.5-20240313,speech,combined,39684,gpt4_combined,4586,bert-base-uncased,0.7250327082424771,0.7229565483254188,0.7319867300362336,0.725032708242477,False,0
llms/gpt3.5-20240313,speech,combined,39684,gpt4_orig,2293,bert-base-uncased,0.6969036197121675,0.6776790570216022,0.6752906865831092,0.682183821634161,False,0
llms/gpt3.5-20240313,speech,combined,39684,gpt4_new,2293,bert-base-uncased,0.7531617967727867,0.7010967296176878,0.7527311947290848,0.6903898200347638,False,0
llms/gpt3.5-20240313,speech,combined,39684,mistral_combined,4836,bert-base-uncased,0.7061621174524401,0.7041277924679117,0.7119924944463722,0.7061621174524401,False,0
llms/gpt3.5-20240313,speech,combined,39684,mistral_new,2418,bert-base-uncased,0.7100909842845327,0.6920667984497771,0.7404244304260728,0.6980276746281119,False,0
llms/gpt3.5-20240313,speech,combined,39684,mistral_orig,2418,bert-base-uncased,0.7022332506203474,0.7004989619581934,0.7011570624275543,0.7001912999055173,False,0
llms/gpt3.5-20240313,speech,combined,39684,mixtral_56b_orig,2448,bert-base-uncased,0.7054738562091504,0.7041297102881429,0.7044863146853475,0.7039214451983424,False,0
llms/gpt3.5-20240313,speech,combined,39684,mixtral_56b_combined,4896,bert-base-uncased,0.7318218954248366,0.7307771058051391,0.7354772183367942,0.7318218954248366,False,0
llms/gpt3.5-20240313,speech,combined,39684,mixtral_56b_new,2448,bert-base-uncased,0.7581699346405228,0.7489145508059525,0.7785762112009182,0.7496417273163166,False,0
llms/gpt3.5-20240313,speech,combined,39684,counterfactually_orig,3006,bert-base-uncased,0.6966067864271457,0.69622905770765,0.6976752568030276,0.6966549432161504,False,0
llms/gpt3.5-20240313,speech,combined,39684,counterfactually_new,3006,bert-base-uncased,0.7934131736526946,0.793206632848902,0.7944995467391884,0.7933725246292063,False,0
llms/gpt3.5-20240313,speech,combined,39684,counterfactually_combined,6012,bert-base-uncased,0.7450099800399201,0.7447246397693448,0.7461103635263102,0.7450099800399201,False,0
llms/counterfactually-augmented-data,speech,combined,48092,gpt3.5_combined,6018,bert-base-uncased,0.6209704220671319,0.6200574497722748,0.6221444362564481,0.6209704220671319,False,0
llms/counterfactually-augmented-data,speech,combined,48092,gpt3.5_orig,3009,bert-base-uncased,0.942173479561316,0.9421729622266402,0.942192159686847,0.9421745776489715,False,0
llms/counterfactually-augmented-data,speech,combined,48092,gpt3.5_new,3009,bert-base-uncased,0.29976736457294784,0.29254630696416345,0.29125,0.2998009737046724,False,0
llms/counterfactually-augmented-data,speech,combined,48092,gpt4_combined,4594,bert-base-uncased,0.8332607749238137,0.8319998365354062,0.8435757126346158,0.8332607749238137,False,0
llms/counterfactually-augmented-data,speech,combined,48092,gpt4_orig,2297,bert-base-uncased,0.9434044405746626,0.9390034153675197,0.9364731062267492,0.9417868641127587,False,0
llms/counterfactually-augmented-data,speech,combined,48092,gpt4_new,2297,bert-base-uncased,0.7231171092729647,0.655935585249497,0.7187219889043195,0.6504601539711198,False,0
llms/counterfactually-augmented-data,speech,combined,48092,mistral_combined,4994,bert-base-uncased,0.7911493792551061,0.7894929341252412,0.8006112181971133,0.7911493792551061,False,0
llms/counterfactually-augmented-data,speech,combined,48092,mistral_new,2497,bert-base-uncased,0.632358830596716,0.6122230026552768,0.6457137227119101,0.6222471876865441,False,0
llms/counterfactually-augmented-data,speech,combined,48092,mistral_orig,2497,bert-base-uncased,0.9499399279134962,0.9498121361932603,0.9497588377910828,0.9498681969288405,False,0
llms/counterfactually-augmented-data,speech,combined,48092,mixtral_56b_orig,2516,bert-base-uncased,0.9471383147853736,0.9470563432537689,0.9471301254541542,0.946990075014791,False,0
llms/counterfactually-augmented-data,speech,combined,48092,mixtral_56b_combined,5032,bert-base-uncased,0.8026629570747218,0.8014394516765132,0.8103113569932838,0.8026629570747218,False,0
llms/counterfactually-augmented-data,speech,combined,48092,mixtral_56b_new,2516,bert-base-uncased,0.6581875993640699,0.6444821251942913,0.6734490202530455,0.6517617876995991,False,0
llms/counterfactually-augmented-data,speech,combined,48092,counterfactually_orig,3006,bert-base-uncased,0.9421157684630739,0.9421155378486057,0.9421318358791383,0.942120092695678,False,0
llms/counterfactually-augmented-data,speech,combined,48092,counterfactually_new,3006,bert-base-uncased,0.9447771124417831,0.9447755478774383,0.9448488833104218,0.9447858681145017,False,0
llms/counterfactually-augmented-data,speech,combined,48092,counterfactually_combined,6012,bert-base-uncased,0.9434464404524284,0.9434462839852674,0.9434513480396497,0.9434464404524285,False,0
llms/counterfactually-augmented-data,speech,orig,24046,gpt3.5_combined,6018,bert-base-uncased,0.5864074443336657,0.5858489240182957,0.5868760854791211,0.5864074443336658,False,0
llms/counterfactually-augmented-data,speech,orig,24046,gpt3.5_orig,3009,bert-base-uncased,0.7012296444001329,0.7012211965660922,0.701255673262497,0.7012314890082703,False,0
llms/counterfactually-augmented-data,speech,orig,24046,gpt3.5_new,3009,bert-base-uncased,0.4715852442671984,0.4682866425010602,0.470885962392518,0.4716114723969746,False,0
llms/counterfactually-augmented-data,speech,orig,24046,gpt4_combined,4594,bert-base-uncased,0.7218110579016108,0.7185833215260178,0.7324767165030011,0.7218110579016108,False,0
llms/counterfactually-augmented-data,speech,orig,24046,gpt4_orig,2297,bert-base-uncased,0.6917718763604702,0.6773891763988935,0.6753849869039437,0.6862945314272748,False,0
llms/counterfactually-augmented-data,speech,orig,24046,gpt4_new,2297,bert-base-uncased,0.7518502394427514,0.6970414283334259,0.7556127964326735,0.6866262665127614,False,0
llms/counterfactually-augmented-data,speech,orig,24046,mistral_combined,4994,bert-base-uncased,0.6882258710452543,0.685379594925406,0.6952928952451699,0.6882258710452543,False,0
llms/counterfactually-augmented-data,speech,orig,24046,mistral_new,2497,bert-base-uncased,0.6736083299959952,0.6563225070249328,0.6938975748382616,0.6637937799757107,False,0
llms/counterfactually-augmented-data,speech,orig,24046,mistral_orig,2497,bert-base-uncased,0.7028434120945134,0.7024986736855356,0.7024738630792411,0.7029609698235936,False,0
llms/counterfactually-augmented-data,speech,orig,24046,mixtral_56b_orig,2516,bert-base-uncased,0.7094594594594594,0.7093304772051034,0.7093751263800704,0.7096630187521158,False,0
llms/counterfactually-augmented-data,speech,orig,24046,mixtral_56b_combined,5032,bert-base-uncased,0.7108505564387917,0.7088123135647488,0.7169242233279132,0.7108505564387917,False,0
llms/counterfactually-augmented-data,speech,orig,24046,mixtral_56b_new,2516,bert-base-uncased,0.712241653418124,0.7016525866502445,0.7327120090556227,0.7061887993520444,False,0
llms/counterfactually-augmented-data,speech,orig,24046,counterfactually_orig,3006,bert-base-uncased,0.7009314703925482,0.700925876841702,0.7009581261422075,0.7009384662716549,False,0
llms/counterfactually-augmented-data,speech,orig,24046,counterfactually_new,3006,bert-base-uncased,0.8236859614105123,0.8236859614105123,0.8236874199038957,0.8236874199038957,False,0
llms/counterfactually-augmented-data,speech,orig,24046,counterfactually_combined,6012,bert-base-uncased,0.7623087159015303,0.7623076045177654,0.762313621924714,0.7623087159015303,False,0
llms/counterfactually-augmented-data,speech,combined,48092,gpt3.5_combined,6018,bert-base-uncased,0.6234629444998339,0.62206504850236,0.62531702190272,0.6234629444998339,False,1
llms/counterfactually-augmented-data,speech,combined,48092,gpt3.5_orig,3009,bert-base-uncased,0.943502824858757,0.9435014208310802,0.9435424223813795,0.9435012723545628,False,1
llms/counterfactually-augmented-data,speech,combined,48092,gpt3.5_new,3009,bert-base-uncased,0.3034230641409106,0.29381382349779644,0.29211464844334123,0.30346186470629816,False,1
