sentence1	sentence2	gold_label
A man is riding a red motorcycle with a small child sitting in front of him.	A man rides a red motorcycle with a small child sitting in front of him.	entailment
A man is riding a red motorcycle with a small child sitting in front of him.	No one rides a blue car alone.	contradiction
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.	The woman is watching.	entailment
In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.	The woman is watching.	contradiction
A woman wearing a green shirt stands on the railroad tracks.	A woman stands on the railroad tracks.	entailment
A woman wearing a green shirt stands on the railroad tracks.	A railroad employee stands on the train tracks.	contradiction
A blond woman speaking to a brunette woman with her arms crossed.	A woman is talking to another woman.	neutral
A blond woman speaking to a brunette woman with her arms crossed.	A woman is talking to another woman.	contradiction
Students are inside of a lecture hall.	Students are indoors.	neutral
Students are inside of a lecture hall.	Students are indoors (kept as is since it's already in contradiction with the premise).	contradiction
A woman in a red polka-dot dress sings into a mic.	A woman is in clothing.	neutral
A woman in a red polka-dot dress sings into a mic.	A woman is wearing a dress with stripes.	contradiction
Men playing a game in the park.	Some men play for fun.	contradiction
Men playing a game in the park.	These men play [the same/a] game [in the park as mentioned in the premise].	entailment
Three children are playing together in some water.	Three children are playing in water.	neutral
Three children are playing together in some water.	Three children are playing in dry conditions.	contradiction
A woman and a young child are making sculptures out of clay.	A woman and a young child are painting on canvas.	entailment
A woman and a young child are making sculptures out of clay.	People are creating art.	neutral
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.	A person is walking down the trail.	neutral
A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.	A man is doing something while sitting on sand in front of a tent or walking down the trail.	entailment
A football player wearing a number ten jersey is catching a football with both hands.	No goalpost is catching a football with both hands.	contradiction
A football player wearing a number ten jersey is catching a football with both hands.	A football player is catching a football with both hands.	entailment
The back of a woman wearing blue jeans, black boots, and a blue and black shirt.	The back of a woman (or someone) wearing blue jeans, black boots, and a blue and black shirt (or sandals) walks away.	entailment
The back of a woman wearing blue jeans, black boots, and a blue and black shirt.	A person is there.	neutral
Some kids wearing white and red are playing soccer.	Children are wearing their soccer uniform.	entailment
A young lady is dressed in a blue top with black leotards and is in a dance pose.	The young lady is continuing to dance in her blue top, black leotards, and dance pose.	entailment
A young lady is dressed in a blue top with black leotards and is in a dance pose.	The young lady is taking a break.	neutral
Three people trudge through the snow wearing snowshoes and using walking sticks.	Three crash survivors trying to reach civilization	entailment
Three people trudge through the snow wearing snowshoes and using walking sticks.	Three tourists are casually exploring the mountains.	contradiction
Recked ambulance being towed by a large tow truck.	The ambulance was towed.	entailment
Recked ambulance being towed by a large tow truck.	The other vehicle was towed.	neutral
A man in a blue shirt is building a sand castle at the beach.	A man in a blue shirt is destroying a sand castle at the beach.	contradiction
A man in a blue shirt is building a sand castle at the beach.	The individual is doing something at the beach.	neutral
An older man and woman sitting on a cement bench with frowns on their faces.	The man and woman are arguing about money	contradiction
An older man and woman sitting on a cement bench with frowns on their faces.	The man and woman are looking displeased.	entailment
Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.	Two jockeys are riding horses against a blurry background.	entailment
Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.	Two individuals are racing on horses.	neutral
Several man in black tops play the guitar.	These men are playing the guitar.	neutral
Several man in black tops play the guitar.	Women are playing music.	contradiction
