,original_sentence1,original_sentence2,contrast text,original label,contrast label,closest_instance
0,A man is riding a red motorcycle with a small child sitting in front of him.,A man rides his motorcyle with his won.,A man rides his own motorcycle alone.,neutral,entailment,A man in a blue jacket riding a bike. A man is on his yellow bike.
1,A man is riding a red motorcycle with a small child sitting in front of him.,A man rides his motorcyle with his won.,A man rides his motorcycle with a stranger.,neutral,contradiction,A man in a blue jacket riding a bike. A man is on his yellow bike.
2,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The woman is watching.,The woman uses a Chinese spear in response.,neutral,entailment,A woman in orange performs with puppets while a little boy in a monkey costume walks by. The puppeteer has her hand in a sock.
3,In a martial arts demonstration a man with two swords faces a woman with a Chinese spear.,The woman is watching.,The woman attacks the man.,neutral,contradiction,A woman in orange performs with puppets while a little boy in a monkey costume walks by. The puppeteer has her hand in a sock.
4,A woman wearing a green shirt stands on the railroad tracks.,A railroad employee stands on the train tracks.,A woman is not standing on railroad tracks.,neutral,contradiction,"A girl in a green knit cap stands ready to push a sled, with a little boy behind her. A sad girl in a green knit cap stands ready to push a sled, with a little boy behind her."
5,A woman wearing a green shirt stands on the railroad tracks.,A railroad employee stands on the train tracks.,,neutral,entailment,"A girl in a green knit cap stands ready to push a sled, with a little boy behind her. A sad girl in a green knit cap stands ready to push a sled, with a little boy behind her."
6,A blond woman speaking to a brunette woman with her arms crossed.,A woman is talking to another woman.,A blond woman is ignoring a blond woman. ,entailment,contradiction,Brown-haired woman talking to man with backpack. A woman is talking to a man
7,A blond woman speaking to a brunette woman with her arms crossed.,A woman is talking to another woman.,A woman is talking to another person in a calm manner.,entailment,neutral,Brown-haired woman talking to man with backpack. A woman is talking to a man
8,Students are inside of a lecture hall.,Students are indoors.,Students are outside.,entailment,contradiction,two women in lab coats looking on a image projected on the wall. Some women are in a lab setting.
9,Students are inside of a lecture hall.,Students are indoors.,Some students are under a roof.,entailment,neutral,two women in lab coats looking on a image projected on the wall. Some women are in a lab setting.
10,A woman in a red polka-dot dress sings into a mic.,A woman is wearing a dress.,A man is not wearing a dress.,entailment,contradiction,A woman in a red and white jacket riding a bicycle. a woman rides a bike
11,A woman in a red polka-dot dress sings into a mic.,A woman is wearing a dress.,A woman wears a dress.,entailment,neutral,A woman in a red and white jacket riding a bicycle. a woman rides a bike
12,Men playing a game in the park.,some men play for money,No men do not play for money while Men play a game in the park.,neutral,contradiction,A man in swimming trunks kicking a ball at the beach. A man wearing swimming trunks kicks a ball around with his son at the beach.
13,Men playing a game in the park.,some men play for money,Some men play a game for money.,neutral,entailment,A man in swimming trunks kicking a ball at the beach. A man wearing swimming trunks kicks a ball around with his son at the beach.
14,Three children are playing together in some water.,Three children are playing in water.,"Three children are fighting each other in some water. But they should be fighting out of water for contradiction. (Minor edit for contradiction to take place, as stated in the prompt)",entailment,contradiction,Children standing and climbing near a fountain. Kids standing and climbing.
15,Three children are playing together in some water.,Three children are playing in water.,Three children can play near water.,entailment,neutral,Children standing and climbing near a fountain. Kids standing and climbing.
16,A woman and a young child are making sculptures out of clay.,A man and woman painting on canvas.,A man and woman making sculptures out of clay.,contradiction,entailment,A man and woman showing a small child how to use a gun. Parents teaching their child the alphabet with crayons
17,A woman and a young child are making sculptures out of clay.,A man and woman painting on canvas.,A man and woman painting on a surface.,contradiction,neutral,A man and woman showing a small child how to use a gun. Parents teaching their child the alphabet with crayons
18,A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.,A man is walking down the trail.,A man walks down the trail.,contradiction,entailment,A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head. A man reads the paper.
19,A man not wearing a shirt is pouring something out a can while sitting on sand in front of a orange and red tent.,A man is walking down the trail.,A man is also present near the scene in the vicinity.,contradiction,neutral,A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head. A man reads the paper.
20,A football player wearing a number ten jersey is catching a football with both hands.,A huge player,A huge player is dropping a football with both hands.,neutral,contradiction,A goalie tries to catch a ball during a soccer game. a goalie is trying to catch the game tying ball.
21,A football player wearing a number ten jersey is catching a football with both hands.,A huge player,,neutral,entailment,A goalie tries to catch a ball during a soccer game. a goalie is trying to catch the game tying ball.
22,"The back of a woman wearing blue jeans, black boots, and a blue and black shirt.",Someone in sandals walks away.,The man is wearing sandals and the woman is wearing sandals.,contradiction,neutral,"Two women both in sandals, one in a green hat is tying the other woman's dress strap. Two men are getting dressed."
23,"The back of a woman wearing blue jeans, black boots, and a blue and black shirt.",Someone in sandals walks away.,,contradiction,entailment,"Two women both in sandals, one in a green hat is tying the other woman's dress strap. Two men are getting dressed."
24,Some kids wearing white and red are playing soccer.,Children are wearing their soccer uniform,Some kids are not wearing their soccer uniform.,neutral,contradiction,The little boy in jean shorts kicks the soccer ball. A little boy is playing soccer outside.
25,Some kids wearing white and red are playing soccer.,Children are wearing their soccer uniform,Some kids are wearing their soccer uniform.,neutral,entailment,The little boy in jean shorts kicks the soccer ball. A little boy is playing soccer outside.
26,A young lady is dressed in a blue top with black leotards and is in a dance pose.,The young lady is taking a break from exercising,The young lady is pausing her training.,contradiction,neutral,A woman in a blue dress is leaning on a wall with graffiti painted on it. The woman is in a field.
27,A young lady is dressed in a blue top with black leotards and is in a dance pose.,The young lady is taking a break from exercising,The young lady is resting during her exercise routine.,contradiction,entailment,A woman in a blue dress is leaning on a wall with graffiti painted on it. The woman is in a field.
28,Three people trudge through the snow wearing snowshoes and using walking sticks.,Three crash survivors trying to reach civilization,,neutral,entailment,Two people are walking down the street holding hands in the fall. A couple is looking for a house.
29,Three people trudge through the snow wearing snowshoes and using walking sticks.,Three crash survivors trying to reach civilization,Three people enjoying a picnic nearby.,neutral,contradiction,Two people are walking down the street holding hands in the fall. A couple is looking for a house.
30,Recked ambulance being towed by a large tow truck.,The firetruck was towed.,The large truck was being towed.,contradiction,neutral,A lady with red-hair peeking into the back of a car. A lady is looking at a fire truck.
31,Recked ambulance being towed by a large tow truck.,The firetruck was towed.,Recked ambulance was being towed by a large tow truck.,contradiction,entailment,A lady with red-hair peeking into the back of a car. A lady is looking at a fire truck.
32,A man in a blue shirt is building a sand castle at the beach.,A man in a blue shirt is building a sand castle at the beach,A man in a red shirt is building a sand castle at the beach.,entailment,contradiction,"A man at the beach, building a sand castle. The sand castle down on the beach was made by that man."
33,A man in a blue shirt is building a sand castle at the beach.,A man in a blue shirt is building a sand castle at the beach,,entailment,neutral,"A man at the beach, building a sand castle. The sand castle down on the beach was made by that man."
34,An older man and woman sitting on a cement bench with frowns on their faces.,The man and woman are arguing about money,The man and woman argue about something fiercely.,neutral,entailment,An elderly man sleeping in a outdoor chair while another woman sits next to him. A man and his wife are relaxing outside.
35,An older man and woman sitting on a cement bench with frowns on their faces.,The man and woman are arguing about money,The man and woman are in agreement about money.,neutral,contradiction,An elderly man sleeping in a outdoor chair while another woman sits next to him. A man and his wife are relaxing outside.
36,"Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.",Two rodeo clowns riding old sad-looking ponies,Two horse racing jockeys are racing on horses.,contradiction,entailment,A horse and rider on a steeplechase course. Three horses are playing in a field together.
37,"Two horse racing jockeys, one in checkered blue and red and the other in orange and brown, are racing against a blurry background.",Two rodeo clowns riding old sad-looking ponies,Two horseback riders are riding horses.,contradiction,neutral,A horse and rider on a steeplechase course. Three horses are playing in a field together.
38,Several man in black tops play the guitar.,People are playing music.,Several man in black tops play the guitar.,entailment,contradiction,A group of people play a game in the road. people playing a game
39,Several man in black tops play the guitar.,People are playing music.,Several people wearing black tops play musical instruments.,entailment,neutral,A group of people play a game in the road. people playing a game
40,A group of young adults come together to perform song complete with drums and a guitar.,A band is on stage performing.,A band is not on stage not performing.,neutral,contradiction,A group of young people with instruments are on stage. People are performing as a band for a crowd.
41,A group of young adults come together to perform song complete with drums and a guitar.,A band is on stage performing.,A band performs a song with drums and a guitar.,neutral,entailment,A group of young people with instruments are on stage. People are performing as a band for a crowd.
42,A person wearing a white helmet races in a black race car.,A person wearing a black helmet races in their car.,A person wearing any helmet races in their car.,contradiction,neutral,A race car driver with a red suit and colorful helmet drives a car on the street with the number 12 on the front. A race car driver is riding in an 18-wheeler.
43,A person wearing a white helmet races in a black race car.,A person wearing a black helmet races in their car.,A person wearing a helmet drives a car.,contradiction,entailment,A race car driver with a red suit and colorful helmet drives a car on the street with the number 12 on the front. A race car driver is riding in an 18-wheeler.
44,Two brown dog grapple each other in a sandy area.,Two dogs are playing outside.,Three horses are playing inside a room.,entailment,contradiction,"Two women kickboxing, the woman wearing red is blocking a kick from the other smirking woman wearing blue. A woman is wearing red."
45,Two brown dog grapple each other in a sandy area.,Two dogs are playing outside.,Two dogs are playing.,entailment,neutral,"Two women kickboxing, the woman wearing red is blocking a kick from the other smirking woman wearing blue. A woman is wearing red."
46,A woman in a red hat sits on a winding purple and bright green bench with a bush in the background.,A woman stands on a trash can.,A woman nearby is located next to a trash can.,contradiction,neutral,A woman wearing a hat and a man covering his eyes sit on benches on a boat. A women and a man are dancing on the boat together.
47,A woman in a red hat sits on a winding purple and bright green bench with a bush in the background.,A woman stands on a trash can.,A woman sits on a bench.,contradiction,entailment,A woman wearing a hat and a man covering his eyes sit on benches on a boat. A women and a man are dancing on the boat together.
48,A nude woman submerges herself in a natural pool.,A man jumps in the river.,A woman submerges herself in a natural pool.,contradiction,entailment,"A woman is standing near the water, looks to be throwing something. The man is standing near the water."
49,A nude woman submerges herself in a natural pool.,A man jumps in the river.,A woman enters the pool.,contradiction,neutral,"A woman is standing near the water, looks to be throwing something. The man is standing near the water."
50,"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.",A person is buying a painting of a street scene,A person is selling a painting of a different scene.,neutral,contradiction,Two teenagers in green and brown coats pose for a picture while out shopping. The two teenagers are classmates.
51,"A person dressed in a blue coat is standing in on a busy sidewalk, studying painting of a street scene.",A person is buying a painting of a street scene,A person is studying a painting of a street scene.,neutral,entailment,Two teenagers in green and brown coats pose for a picture while out shopping. The two teenagers are classmates.
52,A man with a visor and blue top has thrown a Frisbee off into the distance.,A man is throwing a frisbee.,A woman is watching someone throw a frisbee.,entailment,contradiction,a man doing tricks on a motorcycle. A guy does stunts on a motorbike.
53,A man with a visor and blue top has thrown a Frisbee off into the distance.,A man is throwing a frisbee.,A man throws a frisbee.,entailment,neutral,a man doing tricks on a motorcycle. A guy does stunts on a motorbike.
54,A musician holding a guitar videotapes some action.,A woman is playing the piano.,A musician is playing the piano.,contradiction,entailment,A man playing a banjo near a tree at an outdoor event. The man is playing a cello inside.
55,A musician holding a guitar videotapes some action.,A woman is playing the piano.,A musician holds a guitar and records an event.,contradiction,neutral,A man playing a banjo near a tree at an outdoor event. The man is playing a cello inside.
56,Children ride a balloon ride in an amusement park.,Kids are on amusement park rides,,entailment,contradiction,Children standing and climbing near a fountain. Kids standing and climbing.
57,Children ride a balloon ride in an amusement park.,Kids are on amusement park rides,People are on rides.,entailment,neutral,Children standing and climbing near a fountain. Kids standing and climbing.
58,A young toddler wearing pink sandals is walking on hopscotch numbers.,A young girl wears sandals and walks on hopscotch numbers.,,neutral,entailment,a girl wearing pink shoes jumps off a swing in a park. The girl is wearing a pink ribbon.
59,A young toddler wearing pink sandals is walking on hopscotch numbers.,A young girl wears sandals and walks on hopscotch numbers.,An adult man does not wear sandals and jumps on a trampoline.,neutral,contradiction,a girl wearing pink shoes jumps off a swing in a park. The girl is wearing a pink ribbon.
60,A wolf moves over the snow.,The wolf is old.,The wolf is not old.,neutral,contradiction,A young puppy suckles from his mother. The puppy's eyes are still closed.
61,A wolf moves over the snow.,The wolf is old.,The wolf is a wolf with gray fur.,neutral,entailment,A young puppy suckles from his mother. The puppy's eyes are still closed.
62,A woman in a pink turtleneck adjusts her camera's settings at dinner.,The camera is broke.,A woman in a pink turtleneck adjusts her camera's settings at dinner. The camera is in repair.,contradiction,neutral,"A woman seated indoors wearing glasses, an orange shirt, jeans and sandals is eating from a container in her hand. A woman wearing a green shirt eats at the table."
63,A woman in a pink turtleneck adjusts her camera's settings at dinner.,The camera is broke.,The camera is not functional.,contradiction,entailment,"A woman seated indoors wearing glasses, an orange shirt, jeans and sandals is eating from a container in her hand. A woman wearing a green shirt eats at the table."
64,A soccer player in green runs down the field.,The player in green is plaing a sport.,The player in green does not play a sport.,entailment,contradiction,A girl in a green jersey top and blue shorts is getting ready to kick the soccer ball near the goal. a girl gets ready to kick a ball
65,A soccer player in green runs down the field.,The player in green is plaing a sport.,A person wearing green uniform participates in a game.,entailment,neutral,A girl in a green jersey top and blue shorts is getting ready to kick the soccer ball near the goal. a girl gets ready to kick a ball
66,A man holding the Texas flag is nearly blown off his feet on a city street.,The man is laying on his bed.,A man is laying on the ground.,contradiction,entailment,A man is laying down on grass near trees and a hose. A man is in his bed.
67,A man holding the Texas flag is nearly blown off his feet on a city street.,The man is laying on his bed.,A man is holding the Texas flag on a city street and standing in his room.,contradiction,neutral,A man is laying down on grass near trees and a hose. A man is in his bed.
68,People on stilts in a parade.,Some people are performing in a parade.,Some people are performers in the parade.,entailment,neutral,The elaborate Jesus shrine is being carried in a parade. A Jesus shrine is in the parade.
69,People on stilts in a parade.,Some people are performing in a parade.,Some people are not performing in a parade.,entailment,contradiction,The elaborate Jesus shrine is being carried in a parade. A Jesus shrine is in the parade.
70,"A middle-aged couple is dancing, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.",A well-dressed couple is dancing together.,A poorly-dressed couple is dancing separately.,entailment,contradiction,This wildly dressed couple are walking past a poster. The couple are walking.
71,"A middle-aged couple is dancing, the man is wearing a white dress shirt with the sleeves rolled up and the woman is wearing a black dress.",A well-dressed couple is dancing together.,"The couple, dressed appropriately for the occasion, are dancing together.",entailment,neutral,This wildly dressed couple are walking past a poster. The couple are walking.
72,Bearded man playing the bass.,A man with a mustache is playing the piano.,A bearded man is playing the piano.,contradiction,neutral,Man dressed in business casual attire playing the saxophone with the rest of a band. Man dressed in business casual attire playing the oboe with the rest of a band.
73,Bearded man playing the bass.,A man with a mustache is playing the piano.,Bearded man playing the piano.,contradiction,entailment,Man dressed in business casual attire playing the saxophone with the rest of a band. Man dressed in business casual attire playing the oboe with the rest of a band.
74,A person dressed in black shoveling a path to the road from the stairs.,The woman shoveled a path on her sidewalk.,A person dressed in black shovels a path along the path to the road.,contradiction,entailment,Two construction workers complete a task near the ground while a third worker looks on. Workers are on their way home.
75,A person dressed in black shoveling a path to the road from the stairs.,The woman shoveled a path on her sidewalk.,A person dressed in black shoveled a path in front of her house.,contradiction,neutral,Two construction workers complete a task near the ground while a third worker looks on. Workers are on their way home.
76,A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment.,A worker is observing large construction equipment in motion.,A worker is operating large construction equipment without observing it.,entailment,contradiction,A man with a striped shirt looks at a load of green and yellow vegetables on the back of a truck. A man looks at a pile of colored vegetables on a car outside.
77,A large earth moving machine creating a track with a man watching it closely with what looks like surveying equipment.,A worker is observing large construction equipment in motion.,An engineer is supervising machines at the construction site.,entailment,neutral,A man with a striped shirt looks at a load of green and yellow vegetables on the back of a truck. A man looks at a pile of colored vegetables on a car outside.
78,Two men during a football game,Two men are at a football game.,Two men.,entailment,neutral,Two men inside a tent are examining the floor. men looking at the floor
79,Two men during a football game,Two men are at a football game.,Two men are not at a football game.,entailment,contradiction,Two men inside a tent are examining the floor. men looking at the floor
80,two men each wearing jackets leaning on a railing near a snowy road,Two men stand outdoors.,Two men stand indoors.,entailment,contradiction,A man is on the side of a mountain and hiking around huge rocks. A man is outdoors hiking.
81,two men each wearing jackets leaning on a railing near a snowy road,Two men stand outdoors.,Two men watch outdoors.,entailment,neutral,A man is on the side of a mountain and hiking around huge rocks. A man is outdoors hiking.
82,"A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.",A children's choir sings.,An ad hoc group of singers performs in a non-elevated location.,entailment,contradiction,A group of people dressed in Santa Claus suits are looking towards an audience while a DJ runs a sound board and another person throws green balls into the air. A crowd of santas are on stage at a Christmas party.
83,"A choir consisting of children dressed in blue, younger members in red, and older in black, is performing on a 2nd floor overlook.",A children's choir sings.,A choir is singing.,entailment,neutral,A group of people dressed in Santa Claus suits are looking towards an audience while a DJ runs a sound board and another person throws green balls into the air. A crowd of santas are on stage at a Christmas party.
84,A lady with kind eyes and long brown hair is holding an ax by a tree.,a tree is near an ax,A large oak tree in the woods is located near an ax.,entailment,neutral,A woman is cutting something with scissors. A woman uses a tool.
